"","Date","Site","Sample_Type","Treatment","Tank_.","Tank_Name","Salinity","Dispersal","richness1","shannon1","simp.even1","J1"
"CSI046","20-Jun-15","CSI_Dispersal (CSI)","W","A",2,"A2_2015-June20",0,0,1132,5.3762838856242,0.987562705,0.764669729672018
"CSI047","20-Jun-15","CSI_Dispersal (CSI)","W","A",3,"A3_2015-June20",0,1,867,4.23736313083262,0.96048826,0.626468839744526
"CSI048","20-Jun-15","CSI_Dispersal (CSI)","W","A",4,"A4_2015-June20",0,3,769,4.36876853764984,0.96309568,0.657571764478467
"CSI049","20-Jun-15","CSI_Dispersal (CSI)","W","A",5,"A5_2015-June20",5,2,889,4.2271206648236,0.954964925,0.622645199427586
"CSI050","20-Jun-15","CSI_Dispersal (CSI)","W","A",6,"A6_2015-June20",5,3,561,3.53696279450027,0.925699335,0.558944078517779
"CSI052","20-Jun-15","CSI_Dispersal (CSI)","W","A",8,"A8_2015-June20",9,3,425,3.30680697584031,0.91286309,0.546603747142033
"CSI053","20-Jun-15","CSI_Dispersal (CSI)","W","A",9,"A9_2015-June20",13,2,724,4.08708202140057,0.95016399,0.620815429131166
"CSI054","20-Jun-15","CSI_Dispersal (CSI)","W","A",10,"A10_2015-June20",13,3,904,4.28035188242688,0.94649851,0.628831965045803
"CSI055","20-Jun-15","CSI_Dispersal (CSI)","W","A",11,"A11_2015-June20",0,2,880,4.32959749284662,0.939797065,0.638698167620733
"CSI056","20-Jun-15","CSI_Dispersal (CSI)","W","B",1,"B1_2015-June20",13,0,772,4.59733414058391,0.974993405,0.69156884051104
"CSI057","20-Jun-15","CSI_Dispersal (CSI)","W","B",2,"B2_2015-June20",0,0,675,4.27828266234956,0.964380855,0.656710873580606
"CSI058","20-Jun-15","CSI_Dispersal (CSI)","W","B",3,"B3_2015-June20",0,1,1153,5.35528962614548,0.9844564,0.759695846829596
"CSI059","20-Jun-15","CSI_Dispersal (CSI)","W","B",4,"B4_2015-June20",0,3,1111,5.39496498259812,0.98802403,0.769377677942441
"CSI060","20-Jun-15","CSI_Dispersal (CSI)","W","B",5,"B5_2015-June20",5,2,737,3.70314577990256,0.923236935,0.560978137907369
"CSI061","20-Jun-15","CSI_Dispersal (CSI)","W","B",6,"B6_2015-June20",5,3,614,3.66096502147986,0.89773348,0.570389041137601
"CSI062","20-Jun-15","CSI_Dispersal (CSI)","W","B",7,"B7_2015-June20",9,2,1069,5.12823969640302,0.983409485,0.735385109412561
"CSI063","20-Jun-15","CSI_Dispersal (CSI)","W","B",8,"B8_2015-June20",9,3,923,5.17058000432982,0.98389461,0.757422654505756
"CSI064","20-Jun-15","CSI_Dispersal (CSI)","W","B",9,"B9_2015-June20",13,2,887,4.70729322406376,0.97218063,0.693603882160441
"CSI065","20-Jun-15","CSI_Dispersal (CSI)","W","B",10,"B10_2015-June20",13,3,533,4.14554837963529,0.96082993,0.660472175403117
"CSI066","20-Jun-15","CSI_Dispersal (CSI)","W","B",11,"B11_2015-June20",0,2,702,4.49921651079977,0.974957465,0.686640380807835
"CSI067","20-Jun-15","CSI_Dispersal (CSI)","W","C",1,"C1_2015-June20",13,0,853,4.53334105084224,0.970283765,0.671846301313376
"CSI068","20-Jun-15","CSI_Dispersal (CSI)","W","C",2,"C2_2015-June20",0,0,1158,5.40267782473499,0.98808042,0.765947708540078
"CSI069","20-Jun-15","CSI_Dispersal (CSI)","W","C",3,"C3_2015-June20",0,1,798,4.79013659250055,0.969057025,0.716994579706673
"CSI070","20-Jun-15","CSI_Dispersal (CSI)","W","C",4,"C4_2015-June20",0,3,606,3.44036946926014,0.90896311,0.537118932104073
"CSI072","20-Jun-15","CSI_Dispersal (CSI)","W","C",6,"C6_2015-June20",5,3,512,4.06780365686879,0.96452655,0.652271100683101
"CSI073","20-Jun-15","CSI_Dispersal (CSI)","W","C",7,"C7_2015-June20",9,2,714,4.63661988996326,0.977309565,0.705781719018982
"CSI074","20-Jun-15","CSI_Dispersal (CSI)","W","C",8,"C8_2015-June20",9,3,639,4.52844648654312,0.973354545,0.701178273399117
"CSI075","20-Jun-15","CSI_Dispersal (CSI)","W","C",9,"C9_2015-June20",13,2,1023,4.33888729177816,0.92152186,0.62614572347734
"CSI076","20-Jun-15","CSI_Dispersal (CSI)","W","C",10,"C10_2015-June20",13,3,832,4.83129725533372,0.978391935,0.718661803901638
"CSI077","20-Jun-15","CSI_Dispersal (CSI)","W","C",11,"C11_2015-June20",0,2,791,4.7717642843509,0.978045995,0.715188957152422
"CSI079","20-Jun-15","CSI_Dispersal (CSI)","W","D",2,"D2_2015-June20",0,0,780,4.77776158763938,0.980434195,0.717595923876172
"CSI080","20-Jun-15","CSI_Dispersal (CSI)","W","D",3,"D3_2015-June20",0,1,730,3.73940771761484,0.89319624,0.567292598154027
"CSI081","20-Jun-15","CSI_Dispersal (CSI)","W","D",4,"D4_2015-June20",0,3,934,4.78873858929371,0.964085005,0.700271254575605
"CSI082","20-Jun-15","CSI_Dispersal (CSI)","W","D",5,"D5_2015-June20",5,2,667,4.12228423740285,0.952045025,0.63407176826505
"CSI083","20-Jun-15","CSI_Dispersal (CSI)","W","D",6,"D6_2015-June20",5,3,710,4.10302125663194,0.95072809,0.6250931697151
"CSI084","20-Jun-15","CSI_Dispersal (CSI)","W","D",7,"D7_2015-June20",9,2,970,4.64506171161037,0.965472305,0.675521082126175
"CSI085","20-Jun-15","CSI_Dispersal (CSI)","W","D",8,"D8_2015-June20",9,3,1014,5.12057450748898,0.981886855,0.739895616248423
"CSI086","20-Jun-15","CSI_Dispersal (CSI)","W","D",9,"D9_2015-June20",13,2,829,4.60326033926675,0.968920115,0.6851095887887
"CSI087","20-Jun-15","CSI_Dispersal (CSI)","W","D",10,"D10_2015-June20",13,3,884,4.88732413887292,0.97937764,0.720490908859533
"CSI088","20-Jun-15","CSI_Dispersal (CSI)","W","D",11,"D11_2015-June20",0,2,626,3.879341040836,0.946378135,0.602442920057052
"CSI089","29-Jun-15","CSI_Dispersal (CSI)","W","A",1,"A1_2015-June29",13,0,728,4.43494105571889,0.9722939,0.673090080886599
"CSI090","29-Jun-15","CSI_Dispersal (CSI)","W","A",2,"A2_2015-June29",0,0,975,5.3857189598769,0.98935027,0.78264744283285
"CSI092","29-Jun-15","CSI_Dispersal (CSI)","W","A",4,"A4_2015-June29",0,3,456,3.21162632689053,0.91478985,0.524750041876399
"CSI093","29-Jun-15","CSI_Dispersal (CSI)","W","A",5,"A5_2015-June29",5,2,458,3.78391093955251,0.93836256,0.61781331344869
"CSI094","29-Jun-15","CSI_Dispersal (CSI)","W","A",6,"A6_2015-June29",5,3,486,3.68479563856789,0.92859207,0.595845233281454
"CSI095","29-Jun-15","CSI_Dispersal (CSI)","W","A",7,"A7_2015-June29",9,2,843,4.71356748387275,0.97606035,0.699780496676888
"CSI096","29-Jun-15","CSI_Dispersal (CSI)","W","A",8,"A8_2015-June29",9,3,1090,5.09701980275679,0.97820259,0.728872984421494
"CSI097","29-Jun-15","CSI_Dispersal (CSI)","W","A",9,"A9_2015-June29",13,2,743,4.47274177633298,0.97177582,0.676591654808709
"CSI098","29-Jun-15","CSI_Dispersal (CSI)","W","A",10,"A10_2015-June29",13,3,1112,4.96041644828021,0.97792885,0.707315739344016
"CSI099","29-Jun-15","CSI_Dispersal (CSI)","W","A",11,"A11_2015-June29",0,2,844,4.75450462723091,0.975474285,0.705733701363005
"CSI100","29-Jun-15","CSI_Dispersal (CSI)","W","B",1,"B1_2015-June29",13,0,853,4.73010826490154,0.975901335,0.701007426298868
"CSI102","29-Jun-15","CSI_Dispersal (CSI)","W","B",3,"B3_2015-June29",0,1,1019,4.70397664199752,0.95913606,0.679216227359078
"CSI103","29-Jun-15","CSI_Dispersal (CSI)","W","B",4,"B4_2015-June29",0,3,745,4.15469675327592,0.961439815,0.628353141093414
"CSI104","29-Jun-15","CSI_Dispersal (CSI)","W","B",5,"B5_2015-June29",5,2,498,4.00047497134299,0.96376047,0.644345166056666
"CSI105","29-Jun-15","CSI_Dispersal (CSI)","W","B",6,"B6_2015-June29",5,3,1142,5.22352978480814,0.98292253,0.742014461665111
"CSI106","29-Jun-15","CSI_Dispersal (CSI)","W","B",7,"B7_2015-June29",9,2,772,4.04795376300106,0.94077116,0.608926522353102
"CSI107","29-Jun-15","CSI_Dispersal (CSI)","W","B",8,"B8_2015-June29",9,3,817,4.65317541005462,0.97289831,0.694046513788233
"CSI108","29-Jun-15","CSI_Dispersal (CSI)","W","B",9,"B9_2015-June29",13,2,596,4.0804743996214,0.953999675,0.638715688962356
"CSI109","29-Jun-15","CSI_Dispersal (CSI)","W","B",10,"B10_2015-June29",13,3,720,4.23347263461975,0.954801345,0.643594080871061
"CSI110","29-Jun-15","CSI_Dispersal (CSI)","W","B",11,"B11_2015-June29",0,2,844,4.32245414474042,0.95679764,0.641602396402792
"CSI111","29-Jun-15","CSI_Dispersal (CSI)","W","C",1,"C1_2015-June29",13,0,849,5.03675425792788,0.980758405,0.746973664518436
"CSI113","29-Jun-15","CSI_Dispersal (CSI)","W","C",3,"C3_2015-June29",0,1,465,3.35211011587467,0.916283185,0.545956538329248
"CSI114","29-Jun-15","CSI_Dispersal (CSI)","W","C",4,"C4_2015-June29",0,3,579,4.03185555211038,0.96155308,0.633982030143801
"CSI115","29-Jun-15","CSI_Dispersal (CSI)","W","C",5,"C5_2015-June29",5,2,816,4.71890632922404,0.980796525,0.703979397490389
"CSI116","29-Jun-15","CSI_Dispersal (CSI)","W","C",6,"C6_2015-June29",5,3,815,4.48458901984738,0.966945315,0.669145858068132
"CSI117","29-Jun-15","CSI_Dispersal (CSI)","W","C",7,"C7_2015-June29",9,2,740,4.14609497571878,0.923271585,0.627692350192072
"CSI118","29-Jun-15","CSI_Dispersal (CSI)","W","C",8,"C8_2015-June29",9,3,893,4.39666501922621,0.95407334,0.647190246248634
"CSI119","29-Jun-15","CSI_Dispersal (CSI)","W","C",9,"C9_2015-June29",13,2,901,4.41767663530943,0.953940085,0.649429618393762
"CSI120","29-Jun-15","CSI_Dispersal (CSI)","W","C",10,"C10_2015-June29",13,3,575,3.95994901778008,0.957301635,0.623185145396913
"CSI121","29-Jun-15","CSI_Dispersal (CSI)","W","C",11,"C11_2015-June29",0,2,688,3.88121352416572,0.933830995,0.594154149273537
"CSI122","29-Jun-15","CSI_Dispersal (CSI)","W","D",1,"D1_2015-June29",13,0,538,3.60758825954981,0.91551616,0.573908583061967
"CSI124","29-Jun-15","CSI_Dispersal (CSI)","W","D",3,"D3_2015-June29",0,1,696,4.04304966799264,0.944000635,0.617833761121471
"CSI125","29-Jun-15","CSI_Dispersal (CSI)","W","D",4,"D4_2015-June29",0,3,635,3.83800803497994,0.945227955,0.594851040666772
"CSI126","29-Jun-15","CSI_Dispersal (CSI)","W","D",5,"D5_2015-June29",5,2,685,3.99626842225159,0.95644272,0.612177417912493
"CSI127","29-Jun-15","CSI_Dispersal (CSI)","W","D",6,"D6_2015-June29",5,3,857,4.31231324704045,0.957262085,0.638646411772467
"CSI129","29-Jun-15","CSI_Dispersal (CSI)","W","D",8,"D8_2015-June29",9,3,651,4.04689746880773,0.947064065,0.624813144486264
