"","alpha","beta","omega","death1","death2","pred_nh40","pred_chl0","gamma","loglik","ttime"
"167",2.00063131020567e-13,9.27341913115289e-12,3.19895532334802e-07,0.00209694300870504,0.0652636107095563,7.66392112585538,91.4606322985064,3.73583574325284e-05,-527.014866551087,74.0100000000002
"168",1.28329071852431e-12,1.32511099347044e-13,1.86291138216715e-06,5.18466100773069e-07,5.34605882885416e-10,7.65743189646374,196.899769929851,4.21812748457011e-07,-487.034744607386,82.1800000000003
"169",0.0071314541784843,16.0788511912312,8.75325706513736,0.00220746132538377,0.000790922250442956,13.6176049906759,37.6574776364453,0.0930419170139822,-431.193910719831,123.720000000001
"170",2.22044604925031e-16,2.22044604925031e-16,4.4827298579523e-14,0.00223741770992922,6.48106820051228e-16,2.22044604925031e-16,1.52850119907129e-11,2.22044604925031e-16,-563.985317151572,27.6999999999989
"171",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00300188348677641,108.171287608829,2.22044604925031e-16,3.13757193635783e-08,2.22044604925031e-16,-563.985317144943,33.1399999999994
"172",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.0026469328243991,799659.457002559,2.22044604925031e-16,1.7485862332989e-05,2.22044604925031e-16,-563.985317018626,28.9699999999993
"173",2.22044604925031e-16,2.22044604925031e-16,2.44100321081889e-16,0.00205504477286887,1.39945815973613e-15,2.22044604925031e-16,9.5956472852525e-11,2.22044604925031e-16,-563.985317151555,31.25
"174",2.22044604925031e-16,2.22044604925031e-16,2.07326042675641,0.00167374194433239,2.22044604925031e-16,2.22044604925031e-16,2.1827794762726e-09,2.22044604925031e-16,-563.98531715111,29.4200000000001
"175",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00370223263119489,5125.22531410023,2.22044604925031e-16,8.00873231918705e-11,2.22044604925031e-16,-563.985317151558,28.9199999999983
"176",0.00100020369133703,29.1458264379612,1530.94717203049,4.17956988927106e-05,8.6458035933014e-08,12.0645335434085,60.0172601359261,0.00340157561332898,-444.72280716695,58.9200000000001
"177",2.59094424909718e-12,2.22044604925031e-16,6.29747749697619,0.00227260963604695,2.22044604925031e-16,2.22044604925031e-16,3.28333316696734e-14,2.22044604925031e-16,-563.985317151575,29.5
"178",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00366258636271519,508958.928472826,2.22044604925031e-16,4.6640187795952e-06,2.22044604925031e-16,-563.985317055674,31.5300000000007
"179",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00246156558968753,0.000296149357116585,2.22044604925031e-16,2.61423039169672e-06,2.22044604925031e-16,-563.985316597055,31.8900000000012
"180",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00335720808173397,8.23298813836488e-07,2.22044604925031e-16,1.93123601280353e-11,2.22044604925031e-16,-563.985317151571,28.6400000000012
"181",0.00708778888022993,15.3727203012467,18.098385014236,0.00200862119568745,0.000698409332983906,13,43,0.145511944194778,-689.646613284693,34.2799999999988
"182",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00253717967215815,6.00404205832485e-13,2.22044604925031e-16,2.50196461636609e-09,2.22044604925031e-16,-563.985317151045,30.1100000000006
