"","alpha","beta","omega","death1","pred_nh40","pred_chl0","gamma","loglik","ttime"
"70",0.00300405884895364,8.00832373191798,55.4372770697565,0.0126446203357922,25.2253529346741,48.4392694248857,1.495757880894,-423.650876967594,35.4800000000105
"71",0.00574934153876434,6.20679369827371,15.5431718463134,0.0241219986342128,25.1135268614019,57.7918385148378,1.14745384172645,-423.323737054343,74.3600000000151
"72",0.00330606062765929,7.34236364792176,37.1444891829963,0.000562765443600648,25.1101604451495,52.9272961802333,34.3829198695598,-423.368281418215,50.0299999999988
"73",0.00279819640222887,8.47539003180399,61.5567807227424,0.014538755334888,25.0959307140028,48.3619850756493,1.2190189100837,-423.714828513273,63.7299999999814
"74",0.00441801475946565,6.48811133989753,21.6516260836052,0.00452537181423671,25.1148889293006,56.8372506020606,5.12226628917526,-423.292137088986,50.4700000000012
"75",0.00483166102907321,6.28344337257888,18.9752650020754,0.00682620048188362,25.1040101014808,57.6891884443608,3.58746693671148,-423.294295525591,57.859999999986
"76",0.00489685438139918,6.26130713838713,18.6679212245358,0.00751532097272754,25.1085202532197,57.7230688864127,3.28853572829856,-423.295544467953,76.109999999986
"77",0.00327086488801279,8.35809888313482,47.3845252187631,0.0327606776093059,25.2395353661068,46.4688368356215,0.622179657707261,-423.845172562673,43.3999999999942
"78",0.00270033393069224,8.32887821759633,66.377051772288,0.00590723648880026,25.0277983167217,48.7425257573227,2.91047343272651,-423.621279665294,53.0299999999988
"79",0.00240944878285859,8.79173394550069,110.649010906207,0.00515126889875714,25.0609030088418,46.8199792518205,3.06527802849501,-423.799712066003,56.2900000000081
"80",0.00299590650892231,7.77843805606344,49.2073417550704,0.00386856799402402,25.1295746154833,50.8725027831622,4.76188839483516,-423.488228804016,41.1699999999837
"81",0.00169579494322405,12.0616389161092,115.606171978324,0.0276927483625006,24.1140227800492,58.6617791907512,0.402423166946279,-427.607113068828,34.0500000000175
"82",0.00324397280961799,7.74361169997961,40.4302013398278,0.0106085837835301,25.1383918502981,51.202233824074,1.8257395678187,-423.485404461443,47.7000000000116
"83",0.00451073866077429,6.44086021428681,21.4820052869031,0.00625437990223389,25.1460114382433,56.5619665728226,3.7901274309379,-423.297601185558,60.1899999999732
"84",0.00482518416394122,6.35343659610902,19.3381015458211,0.00936700903363734,25.1147550372014,56.95400060641,2.63003116331436,-423.298838073528,71.0599999999977
"85",0.00613458158907242,6.16204418307412,14.5322911002062,0.0304459908997524,25.1263870167908,57.8118387663035,0.951520074070751,-423.333337751967,59.6600000000035
"86",0.00599465268681661,6.18337244940642,14.8274468723525,0.0279627445293121,25.1062911283077,57.7845333968225,1.01706100536166,-423.330196373823,67.3099999999977
"87",0.00270759762467852,8.91338719335837,78.3793710267959,0.0187663924383361,25.0675254522211,43.2847241474061,0.928350872896103,-424.016367170022,32.7799999999988
