date,treat,date1,rep ,chl,ph,no3,nh4,temp
6/14/2017,54,3,5,106.3,7.9,0.87,26.06,23
6/14/2017,108,3,1,115.6,7.9,0.99,59.71,22.4
6/14/2017,108,3,2,107,7.8,1.02,56.66,22.4
6/14/2017,108,3,3,119.4,7.9,0.97,49.89,22.5
6/14/2017,108,3,4,96.64,7.8,1.38,49.3,22.1
6/14/2017,108,3,5,105.6,8.1,1.05,44.93,22.8
6/15/2017,0.5,4,1,48.2,8.4,0.93,3.31,24.3
6/15/2017,0.5,4,2,68.37,8.5,0.68,1.51,24
6/15/2017,0.5,4,3,56.04,8.4,0.72,1.51,24
6/15/2017,0.5,4,4,55.71,8.3,0.66,1.53,24.1
6/15/2017,0.5,4,5,66.8,8.3,0.66,1.74,23.8
6/15/2017,3,4,1,47.73,8.1,0.65,1.81,24.2
6/15/2017,3,4,2,49.4,8.3,0.67,1.88,23.6
6/15/2017,3,4,3,70.22,8.3,0.68,1.65,23.1
6/15/2017,3,4,4,45.84,8.1,0.66,1.8,23.9
6/15/2017,3,4,5,51.78,8.2,0.65,1.77,23.9
6/15/2017,9,4,1,85.03,8.4,0.68,2.29,23.5
6/15/2017,9,4,2,83.74,8.6,0.75,2.4,23.8
6/15/2017,9,4,3,105.6,8.5,0.72,1.94,24.1
6/15/2017,9,4,4,92.99,8.6,0.72,2.13,23.8
6/15/2017,9,4,5,86.19,8.4,0.69,2.37,23.4
6/15/2017,27,4,1,183.8,8.7,0.78,5.34,23.6
6/15/2017,27,4,2,148.8,8.7,0.76,6.98,23.5
6/15/2017,27,4,3,176.6,8.6,0.78,4.92,23.1
6/15/2017,27,4,4,141.9,9.4,0.86,3.85,23.4
6/15/2017,27,4,5,170.7,8.5,0.76,8.02,23.4
6/15/2017,54,4,1,164.2,8.7,0.88,15.33,23.7
6/15/2017,54,4,2,135.6,8.5,0.83,17.48,23.1
6/15/2017,54,4,3,172.7,8.6,0.87,13.51,23.5
6/15/2017,54,4,4,149.4,8.8,0.88,10.92,23.4
6/15/2017,54,4,5,160.6,8.5,0.91,20.45,23.6
6/15/2017,108,4,1,170.1,8.3,1.04,38.78,23.3
6/15/2017,108,4,2,147.3,8.2,1.16,37,23.3
6/15/2017,108,4,3,181,7.9,1.26,39.28,23.4
6/15/2017,108,4,4,161.1,8.2,1.5,26.84,23.3
6/15/2017,108,4,5,124.5,8.4,1.09,33.77,23.3
6/16/2017,0.5,5,1,54.7,8.1,0.93,3.81,23.8
6/16/2017,0.5,5,2,72.63,7.8,0.76,6.95,23.3
6/16/2017,0.5,5,3,60.16,7.9,0.62,1.74,23.3
