Rep,Treatment,control,Time_chl_1,Chl_time_1,chl1,Time_nh4_1,Nh4_time_1,nh41,ph1,temp1,Time_chl_2,Chl_time_2,chl2,Time_nh4_2,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,nh42,ph2,temp2,Num_Daphnia,baby,dead,date
31,4,2,1120,11:20:00 AM,22.18,1155,11:55:00 AM,11.41,7.6,20,1714,5:14:00 PM,18.97,1732,5:32:00 PM,354.00,337.00,11.56,7.5,20.3,0,,,11_7_2017
32,4,2,1136,11:36:00 AM,21.18,1209,12:09:00 PM,15.67,7.7,20.1,1718,5:18:00 PM,20.89,1753,5:53:00 PM,342.00,344.00,15.95,7.6,20.1,0,,,11_7_2017
33,5,1,912,9:12:00 AM,2.881,1010,10:10:00 AM,9.97,7.3,19.6,1503,3:03:00 PM,1.45,1509,3:09:00 PM,351.00,299.00,8.56,7.5,20.5,26,3,,11_7_2017
34,5,1,933,9:33:00 AM,2.648,1033,10:33:00 AM,8.42,7.4,19.5,1533,3:33:00 PM,1.156,1538,3:38:00 PM,360.00,305.00,8.37,7.4,20.2,18,2,,11_7_2017
35,5,1,757,7:57:00 AM,2.984,820,8:20:00 AM,8.45,7.3,19.7,1343,1:43:00 PM,1.493,1357,1:57:00 PM,346.00,337.00,8.83,7.4,20.3,17,3,,11_7_2017
36,5,1,845,8:45:00 AM,2.559,934,9:34:00 AM,8.62,7.3,19.8,1433,2:33:00 PM,0.952,1442,2:42:00 PM,348.00,308.00,8.71,7.4,19.8,25,3,,11_7_2017
37,5,1,1153,11:53:00 AM,2.544,1231,12:31:00 PM,10.55,7.5,19.9,1744,5:44:00 PM,1.429,1822,6:22:00 PM,351.00,351.00,8.82,7.5,19.8,21,,,11_7_2017
38,5,2,818,8:18:00 AM,2.712,900,9:00:00 AM,10.92,7.4,19.8,1406,2:06:00 PM,2.497,1419,2:19:00 PM,348.00,319.00,10.8,7.5,19.9,0,,,11_7_2017
39,5,2,1056,10:56:00 AM,2.523,1134,11:34:00 AM,10.94,7.5,20,1643,4:43:00 PM,1.849,1710,5:10:00 PM,347.00,336.00,9.57,7.5,20,0,,,11_7_2017
40,5,2,1140,11:40:00 AM,2.82,1216,12:16:00 PM,7.82,7.6,19.6,1740,5:40:00 PM,2.032,1800,6:00:00 PM,360.00,344.00,8.16,7.6,20.3,0,,,11_7_2017
1,1,1,,8:09:00 AM,10.31,,8:22:00 AM,18.71,8.6,19.7,,2:06:00 PM,2.781,,02:18:00 PM,357.00,,13.27,8.6,20,8,,1,1_15_18
