Date,Rep,Day,Exp_Rep,Time_Chl1,Chl1,Temp1,pH1,Time_Nh41,Nh41,,,
Jan_22_2-18,37,1,1,17:07,115.8,22.1,8.4,17:35,1.26,,,
Jan_22_2-18,4,1,1,17:12,116.4,22.2,8.3,17:45,5.18,,,
Jan_22_2-18,21,1,1,17:22,92.31,21.8,8.4,17:48,2.34,,,
Jan_22_2-18,32,1,1,17:29,-0.153,21.9,8.4,17:56,0.4,,,
Jan_22_2-18,40,1,1,17:33,-0.275,22.0,8.4,18:01,1.79,,,
Jan_22_2-18,5,1,1,17:36,106.7,22.0,8.3,18:06,5.1,,,
Jan_22_2-18,13,1,1,17:46,110.5,21.9,8.3,18:16,9.77,,,
Jan_23_2018,6,2,1,7:44,-0.19,21.6,8.3,8:19,16.02,,,
Jan_23_2018,14,2,1,7:47,1.33,21.4,8.3,8:11,18.85,,,
Jan_23_2018,17,2,1,7:50,107.9,21.4,8.3,8:21,2.67,,,
Jan_23_2018,25,2,1,7:52,99.03,21.4,8.3,8:26,0.59,,,
Jan_23_2018,33,2,1,7:55,107.2,21.5,8.3,8:29,1.44,,,
Jan_23_2018,15,2,1,8:12,-0.074,21.3,8.3,8:39,20.2,,,
Jan_23_2018,22,2,1,8:15,-0.293,21.4,8.4,8:45,4.46,,,
Jan_23_2018,26,2,1,8:22,89.93,21.1,8.4,8:51,0.56,,,
Jan_23_2018,34,2,1,8:26,82.72,21,8.4,8:53,1.51,,,
Jan_23_2018,1,2,1,8:30,105.4,21.2,8.3,8:57,4.67,,,
Jan_23_2018,23,2,1,8:46,-0.241,21.2,8.4,9:02,3.97,,,
Jan_23_2018,30,2,1,8:49,-0.191,21.4,8.4,9:06,0.48,,,
Jan_23_2018,35,2,1,8:52,92.08,21.5,8.4,9:10,1.33,,,
Jan_23_2018,2,2,1,8:54,105,21.4,8.3,9:20,4.81,,,
Jan_23_2018,9,2,1,8:58,108.4,21.4,8.3,9:30,10.78,,,
Jan_23_2018,31,2,1,9:07,-0.174,21.2,8.4,9:37,0.48,,,
Jan_23_2018,38,2,1,9:11,-0.239,21.2,8.3,9:43,1.77,,,
Jan_23_2018,3,2,1,9:12,99.73,21.5,8.3,9:46,5.01,,,
Jan_23_2018,10,2,1,9:21,107.7,21.5,8.3,9:57,10.97,,,
Jan_23_2018,18,2,1,9:31,95.54,21.2,8.4,10:02,2.73,,,
Jan_23_2018,39,2,1,9:44,-0.195,21.1,8.4,10:11,1.91,,,
Jan_23_2018,7,2,1,9:45,-0.29,21.4,8.4,10:21,8.5,,,
Jan_23_2018,11,2,1,9:48,108.5,21.5,8.4,10:31,12.71,,,
Jan_23_2018,19,2,1,10:03,94.42,21.3,8.4,10:39,2.89,,,
Jan_23_2018,27,2,1,10:05,101,21.5,8.4,10:43,0.5,,,
Jan_23_2018,8,2,1,10:21,-0.112,21.2,8.4,10:53,8.15,,,
Jan_23_2018,16,2,1,10:23,-0.2,21.6,8.3,11:03,17.97,,,
Jan_23_2018,20,2,1,10:32,107.3,21.5,8.4,11:13,2.44,,,
Jan_23_2018,28,2,1,10:40,90.35,21.5,8.4,11:16,0.6,,,
Jan_23_2018,36,2,1,10:45,91.23,21.5,8.4,11:22,1.45,,,
Jan_23_2018,12,2,1,11:04,105.5,21.4,8.3,11:25,10.56,,,
Jan_23_2018,24,2,1,11:06,-0.019,21.5,8.3,11:32,3.59,,,
Jan_23_2018,29,2,1,11:13,110,21.3,8.4,11:36,0.5,,,
Jan_23_2018,37,2,1,11:17,73.39,21.3,84,11:39,1.24,,,
Jan_23_2018,4,2,1,11:23,72.47,21.3,8.4,11:44,5.01,,,
Jan_23_2018,21,2,1,11:26,79.08,21.9,8.4,11:48,2.39,,,
Jan_23_2018,32,2,1,11:34,0.483,21.5,8.4,11:51,0.47,,,
Jan_23_2018,40,2,1,11:38,-0.281,21.6,8.3,11:54,1.38,,,
Jan_23_2018,5,2,1,11:41,97.74,21.9,8.4,12:02,5.72,,,
Jan_23_2018,13,2,1,11:43,40.07,21.9,8.3,12:10,9.5,,,
Jan_29_2018,6,1,2,7:45,-0.226,21.7,8.4,8:00,22.51,,,
Jan_29_2018,14,1,2,7:46,-0.281,21.7,8.3,8:07,38.63,,,
Jan_29_2018,17,1,2,7:55,115.6,21.2,8.3,8:17,1.92,,,
Jan_29_2018,25,1,2,7:57,111.2,21.4,8.3,8:27,3.51,,,
Jan_29_2018,33,1,2,7:59,115.5,21.5,8.3,8:32,0.59,,,
Jan_29_2018,15,1,2,8:08,0.189,21.3,8.3,8:41,22.37,,,
Jan_29_2018,22,1,2,8:11,-0.312,21.5,8.4,8:49,2.14,,,
Jan_29_2018,26,1,2,8:18,106.2,21.2,8.3,8:53,3.21,,,
Jan_29_2018,34,1,2,8:28,104.7,21.3,8.3,8:59,0.6,,,
Jan_29_2018,1,1,2,8:33,114.1,21.3,8.3,9:09,7.25,,,
Jan_29_2018,23,1,2,8:50,-0.216,21.5,8.5,9:12,2.45,,,
Jan_29_2018,30,1,2,8:53,-0.302,21.6,8.4,9:19,5.65,,,
Jan_29_2018,35,1,2,8:55,107.3,21.7,8.3,9:22,0.61,,,
Jan_29_2018,2,1,2,9:01,105.3,21.3,8.3,9:26,7.31,,,
Jan_29_2018,9,1,2,9:11,107.9,21.6,8.2,9:36,13.4,,,
Jan_29_2018,31,1,2,9:23,-0.212,21.5,8.4,9:48,5.46,,,
Jan_29_2018,38,1,2,9:26,-0.343,21.6,8.6,9:54,0.38,,,
