Rep,Treat,Day,Date,Time,pH,Temp,NH4
20,2,2,02_27_2018,14:01,8.3,21.2,22.4
34,3,2,02_27_2018,14:11,8.4,21.3,5.7
48,4,2,02_27_2018,14:20,8.4,21,2.04
62,5,2,02_27_2018,14:30,8.4,21.1,7.56
21,2,2,02_27_2018,14:36,8.3,21.2,17.74
35,3,2,02_27_2018,14:42,8.4,21,3.48
49,4,2,02_27_2018,14:46,8.4,21,0.77
63,5,2,02_27_2018,14:56,8.4,21.1,6.75
7,1,2,02_27_2018,15:06,8.3,21,12.38
36,3,2,02_27_2018,15:17,8.4,21.2,3.18
50,4,2,02_27_2018,15:21,8.4,21.2,0.75
64,5,2,02_27_2018,15:31,8.4,21.1,6.14
8,1,2,02_27_2018,15:39,8.4,21.1,12.11
22,2,2,02_27_2018,15:46,8.3,21.1,16.99
51,4,2,02_27_2018,15:53,8.4,21.1,0.91
65,5,2,02_27_2018,16:01,8.4,21.1,6.43
9,1,2,02_27_2018,16:11,8.3,21.2,12.16
23,2,2,02_27_2018,16:21,8.3,21.2,18.37
37,3,2,02_27_2018,16:28,8.4,21.1,3.73
66,5,2,02_27_2018,16:38,8.4,21.4,6.42
10,1,2,02_27_2018,16:48,8.4,21.3,12.35
24,2,2,02_27_2018,16:58,8.3,21.4,17.75
38,3,2,02_27_2018,17:08,8.4,21.1,3.93
52,4,2,02_27_2018,17:14,8.5,21.3,0.93
11,1,2,02_27_2018,17:24,8.3,21.2,12.95
25,2,2,02_27_2018,17:35,8.3,21.3,18.17
39,3,2,02_27_2018,17:44,8.4,21.3,3.79
53,4,2,02_27_2018,17:49,8.5,21.2,0.88
67,5,2,02_27_2018,17:57,8.4,21.2,6.62
26,2,2,02_27_2018,18:07,8.3,21.2,17.57
40,3,2,02_27_2018,18:14,8.4,21.2,3.47
54,4,2,02_27_2018,18:18,8.4,21.2,0.88
68,5,2,02_27_2018,18:26,8.4,21.3,7.55
12,1,2,02_27_2018,18:26,8.3,21.3,14.61
41,3,2,02_27_2018,18:39,8.4,21.4,4.24
55,4,2,02_27_2018,18:46,8.4,21.3,0.89
69,5,2,02_27_2018,18:56,8.4,21.3,6.54
13,1,2,02_27_2018,19:06,8.4,21.3,12.33
27,2,2,02_27_2018,19:16,8.3,21.3,17.25
56,4,2,02_27_2018,19:21,8.4,21.4,0.86
70,5,2,02_27_2018,19:27,8.4,21.5,6.03
14,1,2,02_27_2018,19:37,8.4,21.5,11.94
28,2,2,02_27_2018,19:47,8.3,21.5,18.38
42,3,2,02_27_2018,19:53,8.4,21.4,3.68
1,1,3,02_28_2018,7:50,8.4,21.1,39.33
15,2,3,02_28_2018,8:01,8.3,20.8,34.12
29,3,3,02_28_2018,8:12,8.5,20.7,7.384
43,4,3,02_28_2018,8:19,8.5,20.6,1.58
57,5,3,02_28_2018,8:30,8.4,20.9,8.36
16,2,3,02_28_2018,8:40,8.3,20.6,20.97
30,3,3,02_28_2018,8:50,8.5,20.6,3.68
44,4,3,02_28_2018,8:54,8.5,20.5,0.85
58,5,3,02_28_2018,8:58,8.4,20.8,6.2
2,1,3,02_28_2018,9:08,8.4,20.8,12.39
31,3,3,02_28_2018,9:20,8.5,20.8,3.35
45,4,3,02_28_2018,9:25,8.5,20.7,0.78
59,5,3,02_28_2018,9:35,8.4,20.8,6.13
3,1,3,02_28_2018,9:45,8.4,20.8,12.5
17,2,3,02_28_2018,9:55,8.3,20.9,16.44
46,4,3,02_28_2018,10:05,8.5,21.2,0.92
60,5,3,02_28_2018,10:13,8.4,21.3,6.09
4,1,3,02_28_2018,10:23,8.4,21.2,12.2
18,2,3,02_28_2018,10:33,8.3,21,17.49
32,3,3,02_28_2018,10:43,8.5,20.9,3.44
61,5,3,02_28_2018,10:53,8.4,21,6.54
5,1,3,02_28_2018,11:01,8.4,21.2,12.12
19,2,3,02_28_2018,11:11,8.3,21.2,17.02
33,3,3,02_28_2018,11:16,8.5,21,3.45
47,4,3,02_28_2018,11:21,8.5,21.1,0.81
6,1,3,02_28_2018,11:30,8.4,21.2,11.95
20,2,3,02_28_2018,11:40,8.3,21.1,18.23
34,3,3,02_28_2018,11:50,8.4,21.2,5.41
48,4,3,02_28_2018,11:57,8.5,21.3,1.65
62,5,3,02_28_2018,12:07,8.4,21.6,6.59
21,2,3,02_28_2018,12:17,8.3,21.4,17.5
35,3,3,02_28_2018,12:22,8.5,21.3,3.67
49,4,3,02_28_2018,12:28,8.5,21.4,0.83
63,5,3,02_28_2018,12:38,8.4,21.4,6.32
7,1,3,02_28_2018,12:48,8.4,21.4,12.63
36,3,3,02_28_2018,13:28,8.5,21.9,3.67
50,4,3,02_28_2018,13:38,8.5,21.6,1.79
64,5,3,02_28_2018,13:49,8.4,21.6,6.68
8,1,3,02_28_2018,13:59,8.4,21.6,12.72
22,2,3,02_28_2018,14:07,8.3,21.6,17.61
51,4,3,02_28_2018,14:17,8.5,21.6,1.07
65,5,3,02_28_2018,14:28,8.4,21.7,5.98
9,1,3,02_28_2018,14:37,8.4,21.7,11.26
23,2,3,02_28_2018,14:47,8.3,21.5,17.75
37,3,3,02_28_2018,14:53,8.5,21.6,3.35
66,5,3,02_28_2018,15:03,8.4,21.6,6.64
10,1,3,02_28_2018,15:19,8.4,21.6,12.92
24,2,3,02_28_2018,15:33,8.3,21.5,18.8
38,3,3,02_28_2018,15:41,8.4,22,3.94
52,4,3,02_28_2018,15:47,8.4,22,0.78
11,1,3,02_28_2018,15:58,8.4,21.8,13.1
25,2,3,02_28_2018,16:11,8.3,21.7,18.3
39,3,3,02_28_2018,16:22,8.4,21.8,4.23
53,4,3,02_28_2018,16:31,8.5,21.9,1.01
67,5,3,02_28_2018,16:38,8.4,21.9,6.53
26,2,3,02_28_2018,16:48,8.3,21.8,16.47
40,3,3,02_28_2018,17:02,8.4,22,2.77
54,4,3,02_28_2018,17:12,8.5,21.9,0.79
68,5,3,02_28_2018,17:22,8.4,22,5.8
12,1,3,02_28_2018,17:32,8.4,21.9,11.82
41,3,3,02_28_2018,17:42,8.4,22.2,3.29
55,4,3,02_28_2018,17:50,8.4,22.2,0.73
69,5,3,02_28_2018,18:00,8.4,22.1,6.08
13,1,3,02_28_2018,18:08,8.4,22.2,10.72
27,2,3,02_28_2018,18:18,8.3,22,16.62
56,4,3,02_28_2018,18:22,8.4,22,0.91
70,5,3,02_28_2018,18:31,8.4,22.1,5.99
14,1,3,02_28_2018,18:41,8.4,22.1,11.46
28,2,3,02_28_2018,18:46,8.3,22,16.38
42,3,3,02_28_2018,18:54,8.4,22,3.25
1,1,4,03_01_2018,7:52,8.4,21.5,33.61
15,2,4,03_01_2018,8:03,8.4,21.3,32.33
29,3,4,03_01_2018,8:14,8.5,21.3,6.13
43,4,4,03_01_2018,8:19,8.5,21.3,1.46
57,5,4,03_01_2018,8:23,8.5,21.2,6.76
16,2,4,03_01_2018,8:27,8.3,21.2,20.2
30,3,4,03_01_2018,8:31,8.5,21.2,4.51
44,4,4,03_01_2018,8:37,8.5,20.9,1.15
58,5,4,03_01_2018,8:42,8.5,21.1,7.01
2,1,4,03_01_2018,8:45,8.4,21.1,12.49
31,3,4,03_01_2018,8:55,8.5,21,3.52
45,4,4,03_01_2018,9:04,8.5,21,0.78
59,5,4,03_01_2018,9:08,8.5,21.3,5.16
3,1,4,03_01_2018,9:15,8.4,21.1,10.72
17,2,4,03_01_2018,9:22,8.4,21.2,14.21
46,4,4,03_01_2018,9:29,8.5,21.1,0.97
60,5,4,03_01_2018,9:39,8.5,21.3,5.35
4,1,4,03_01_2018,9:49,8.4,21.3,11.86
18,2,4,03_01_2018,9:59,8.4,21.4,18.11
32,3,4,03_01_2018,10:04,8.5,21.3,3.84
61,5,4,03_01_2018,10:14,8.3,21.4,6.51
5,1,4,03_01_2018,10:24,8.3,21.4,12.49
19,2,4,03_01_2018,10:29,8.3,21.3,17.48
33,3,4,03_01_2018,10:39,8.5,21.5,3.32
47,4,4,03_01_2018,10:46,8.5,21.3,0.89
6,1,4,03_01_2018,10:56,8.4,21.3,11.33
20,2,4,03_01_2018,11:06,8.3,21.5,18.33
34,3,4,03_01_2018,11:16,8.5,21.4,5.31
48,4,4,03_01_2018,11:23,8.5,21.4,1.77
62,5,4,03_01_2018,11:31,8.4,21.4,5.94
21,2,4,03_01_2018,11:41,8.4,21.4,15.45
