Sample_Code,Date,Site,Sample_Type,Treatment,Tank_#,Tank_Name,Salinity,Dispersal
CSI074,20-Jun-15,CSI_Dispersal (CSI),W,C,8,C8_2015-June20,9,3
CSI075,20-Jun-15,CSI_Dispersal (CSI),W,C,9,C9_2015-June20,13,2
CSI076,20-Jun-15,CSI_Dispersal (CSI),W,C,10,C10_2015-June20,13,3
CSI077,20-Jun-15,CSI_Dispersal (CSI),W,C,11,C11_2015-June20,0,2
CSI079,20-Jun-15,CSI_Dispersal (CSI),W,D,2,D2_2015-June20,0,0
CSI080,20-Jun-15,CSI_Dispersal (CSI),W,D,3,D3_2015-June20,0,1
CSI081,20-Jun-15,CSI_Dispersal (CSI),W,D,4,D4_2015-June20,0,3
CSI082,20-Jun-15,CSI_Dispersal (CSI),W,D,5,D5_2015-June20,5,2
CSI083,20-Jun-15,CSI_Dispersal (CSI),W,D,6,D6_2015-June20,5,3
CSI084,20-Jun-15,CSI_Dispersal (CSI),W,D,7,D7_2015-June20,9,2
CSI085,20-Jun-15,CSI_Dispersal (CSI),W,D,8,D8_2015-June20,9,3
CSI086,20-Jun-15,CSI_Dispersal (CSI),W,D,9,D9_2015-June20,13,2
CSI087,20-Jun-15,CSI_Dispersal (CSI),W,D,10,D10_2015-June20,13,3
CSI088,20-Jun-15,CSI_Dispersal (CSI),W,D,11,D11_2015-June20,0,2
CSI089,29-Jun-15,CSI_Dispersal (CSI),W,A,1,A1_2015-June29,13,0
CSI090,29-Jun-15,CSI_Dispersal (CSI),W,A,2,A2_2015-June29,0,0
CSI092,29-Jun-15,CSI_Dispersal (CSI),W,A,4,A4_2015-June29,0,3
CSI093,29-Jun-15,CSI_Dispersal (CSI),W,A,5,A5_2015-June29,5,2
CSI094,29-Jun-15,CSI_Dispersal (CSI),W,A,6,A6_2015-June29,5,3
CSI095,29-Jun-15,CSI_Dispersal (CSI),W,A,7,A7_2015-June29,9,2
CSI096,29-Jun-15,CSI_Dispersal (CSI),W,A,8,A8_2015-June29,9,3
CSI097,29-Jun-15,CSI_Dispersal (CSI),W,A,9,A9_2015-June29,13,2
CSI098,29-Jun-15,CSI_Dispersal (CSI),W,A,10,A10_2015-June29,13,3
CSI099,29-Jun-15,CSI_Dispersal (CSI),W,A,11,A11_2015-June29,0,2
CSI100,29-Jun-15,CSI_Dispersal (CSI),W,B,1,B1_2015-June29,13,0
CSI102,29-Jun-15,CSI_Dispersal (CSI),W,B,3,B3_2015-June29,0,1
CSI103,29-Jun-15,CSI_Dispersal (CSI),W,B,4,B4_2015-June29,0,3
CSI104,29-Jun-15,CSI_Dispersal (CSI),W,B,5,B5_2015-June29,5,2
CSI105,29-Jun-15,CSI_Dispersal (CSI),W,B,6,B6_2015-June29,5,3
CSI106,29-Jun-15,CSI_Dispersal (CSI),W,B,7,B7_2015-June29,9,2
CSI107,29-Jun-15,CSI_Dispersal (CSI),W,B,8,B8_2015-June29,9,3
