"","Date","Site","Sample_Type","Treatment","Tank_.","Tank_Name","Salinity","Dispersal","richness1","shannon1","simp.even1","J1"
"CSI046","20-Jun-15","CSI_Dispersal (CSI)","W","A",2,"A2_2015-June20",0,0,1116,5.38367931084709,0.98764134,0.76727644167021
"CSI047","20-Jun-15","CSI_Dispersal (CSI)","W","A",3,"A3_2015-June20",0,1,832,4.24415593251899,0.96156041,0.631323761984762
"CSI048","20-Jun-15","CSI_Dispersal (CSI)","W","A",4,"A4_2015-June20",0,3,757,4.36874858980796,0.96354663,0.659131158340195
"CSI049","20-Jun-15","CSI_Dispersal (CSI)","W","A",5,"A5_2015-June20",5,2,891,4.23285200607474,0.955413915,0.623282870291725
"CSI050","20-Jun-15","CSI_Dispersal (CSI)","W","A",6,"A6_2015-June20",5,3,546,3.53559793303142,0.926031235,0.561136031005223
"CSI052","20-Jun-15","CSI_Dispersal (CSI)","W","A",8,"A8_2015-June20",9,3,417,3.3101846426618,0.913138955,0.548890300157762
"CSI053","20-Jun-15","CSI_Dispersal (CSI)","W","A",9,"A9_2015-June20",13,2,721,4.09292068876685,0.95038552,0.622095213706907
"CSI054","20-Jun-15","CSI_Dispersal (CSI)","W","A",10,"A10_2015-June20",13,3,891,4.26669718643124,0.94605788,0.62826653641751
"CSI055","20-Jun-15","CSI_Dispersal (CSI)","W","A",11,"A11_2015-June20",0,2,891,4.34193978240031,0.9409121,0.639345927125359
"CSI056","20-Jun-15","CSI_Dispersal (CSI)","W","B",1,"B1_2015-June20",13,0,748,4.59348090660678,0.974979,0.69415160628661
"CSI057","20-Jun-15","CSI_Dispersal (CSI)","W","B",2,"B2_2015-June20",0,0,662,4.25733989909009,0.963664795,0.65545278517499
"CSI058","20-Jun-15","CSI_Dispersal (CSI)","W","B",3,"B3_2015-June20",0,1,1153,5.34708837137443,0.98408144,0.758532425311189
"CSI059","20-Jun-15","CSI_Dispersal (CSI)","W","B",4,"B4_2015-June20",0,3,1107,5.40069759100874,0.988226975,0.770591938037798
"CSI060","20-Jun-15","CSI_Dispersal (CSI)","W","B",5,"B5_2015-June20",5,2,748,3.71257582618876,0.922975135,0.561145593687833
"CSI061","20-Jun-15","CSI_Dispersal (CSI)","W","B",6,"B6_2015-June20",5,3,617,3.68030423476348,0.900479285,0.572966329281365
"CSI062","20-Jun-15","CSI_Dispersal (CSI)","W","B",7,"B7_2015-June20",9,2,1091,5.14304228920376,0.983565715,0.735357674633654
"CSI063","20-Jun-15","CSI_Dispersal (CSI)","W","B",8,"B8_2015-June20",9,3,916,5.17194807463981,0.983834455,0.758469815051509
"CSI064","20-Jun-15","CSI_Dispersal (CSI)","W","B",9,"B9_2015-June20",13,2,914,4.7307374960805,0.97273111,0.693988674190439
"CSI065","20-Jun-15","CSI_Dispersal (CSI)","W","B",10,"B10_2015-June20",13,3,530,4.13829725101079,0.96076236,0.659911479024126
"CSI066","20-Jun-15","CSI_Dispersal (CSI)","W","B",11,"B11_2015-June20",0,2,725,4.50743888242171,0.975195525,0.684522654375029
"CSI067","20-Jun-15","CSI_Dispersal (CSI)","W","C",1,"C1_2015-June20",13,0,858,4.53825055097754,0.970734705,0.671991155568336
"CSI068","20-Jun-15","CSI_Dispersal (CSI)","W","C",2,"C2_2015-June20",0,0,1116,5.37329129918987,0.987595575,0.765795952926328
"CSI069","20-Jun-15","CSI_Dispersal (CSI)","W","C",3,"C3_2015-June20",0,1,784,4.78988826200153,0.970012905,0.718864306106885
"CSI070","20-Jun-15","CSI_Dispersal (CSI)","W","C",4,"C4_2015-June20",0,3,582,3.42905918105685,0.908976305,0.53875781032986
"CSI072","20-Jun-15","CSI_Dispersal (CSI)","W","C",6,"C6_2015-June20",5,3,511,4.05637069254756,0.964142745,0.650642197154913
"CSI073","20-Jun-15","CSI_Dispersal (CSI)","W","C",7,"C7_2015-June20",9,2,717,4.64649021717506,0.97739746,0.706832413376048
"CSI074","20-Jun-15","CSI_Dispersal (CSI)","W","C",8,"C8_2015-June20",9,3,672,4.54504169016858,0.974230235,0.698295114563433
"CSI075","20-Jun-15","CSI_Dispersal (CSI)","W","C",9,"C9_2015-June20",13,2,1004,4.33555970942667,0.9236477,0.627364499524267
"CSI076","20-Jun-15","CSI_Dispersal (CSI)","W","C",10,"C10_2015-June20",13,3,827,4.82372672846597,0.97833416,0.718180401098885
"CSI077","20-Jun-15","CSI_Dispersal (CSI)","W","C",11,"C11_2015-June20",0,2,773,4.78607448059786,0.978560095,0.719680248848274
"CSI079","20-Jun-15","CSI_Dispersal (CSI)","W","D",2,"D2_2015-June20",0,0,775,4.78284602443969,0.98039583,0.719055001635046
"CSI080","20-Jun-15","CSI_Dispersal (CSI)","W","D",3,"D3_2015-June20",0,1,723,3.69195527992623,0.890027355,0.560914794765925
"CSI081","20-Jun-15","CSI_Dispersal (CSI)","W","D",4,"D4_2015-June20",0,3,939,4.80585290371482,0.964613465,0.702225087053725
"CSI082","20-Jun-15","CSI_Dispersal (CSI)","W","D",5,"D5_2015-June20",5,2,683,4.13665342820472,0.952872915,0.633966992507418
"CSI083","20-Jun-15","CSI_Dispersal (CSI)","W","D",6,"D6_2015-June20",5,3,709,4.11926496572448,0.950949205,0.627702866022577
"CSI084","20-Jun-15","CSI_Dispersal (CSI)","W","D",7,"D7_2015-June20",9,2,1005,4.67000602359399,0.966430475,0.675662147460736
"CSI085","20-Jun-15","CSI_Dispersal (CSI)","W","D",8,"D8_2015-June20",9,3,1028,5.12011436955104,0.98207839,0.738364736623414
"CSI086","20-Jun-15","CSI_Dispersal (CSI)","W","D",9,"D9_2015-June20",13,2,842,4.61539766609858,0.9691429,0.685327024878167
"CSI087","20-Jun-15","CSI_Dispersal (CSI)","W","D",10,"D10_2015-June20",13,3,872,4.88811283425601,0.97948882,0.72206371488625
"CSI088","20-Jun-15","CSI_Dispersal (CSI)","W","D",11,"D11_2015-June20",0,2,618,3.86953005165765,0.94655899,0.602121995125847
"CSI089","29-Jun-15","CSI_Dispersal (CSI)","W","A",1,"A1_2015-June29",13,0,694,4.43537835468591,0.97239904,0.678085615757034
"CSI090","29-Jun-15","CSI_Dispersal (CSI)","W","A",2,"A2_2015-June29",0,0,981,5.39600780236283,0.98943212,0.783443428738679
"CSI091","29-Jun-15","CSI_Dispersal (CSI)","W","A",3,"A3_2015-June29",0,1,611,3.50068989743392,0.887972175,0.545834926334365
"CSI092","29-Jun-15","CSI_Dispersal (CSI)","W","A",4,"A4_2015-June29",0,3,454,3.2050300216318,0.9151267,0.524049469132627
"CSI093","29-Jun-15","CSI_Dispersal (CSI)","W","A",5,"A5_2015-June29",5,2,462,3.78105020587942,0.938810315,0.616469072995641
"CSI094","29-Jun-15","CSI_Dispersal (CSI)","W","A",6,"A6_2015-June29",5,3,488,3.69764951101461,0.929634415,0.597526129698013
"CSI095","29-Jun-15","CSI_Dispersal (CSI)","W","A",7,"A7_2015-June29",9,2,866,4.70908723702477,0.97588579,0.696329378869567
"CSI096","29-Jun-15","CSI_Dispersal (CSI)","W","A",8,"A8_2015-June29",9,3,1110,5.08694613980447,0.977813255,0.725544270789957
"CSI097","29-Jun-15","CSI_Dispersal (CSI)","W","A",9,"A9_2015-June29",13,2,728,4.47804217055351,0.972013355,0.679489774109613
"CSI098","29-Jun-15","CSI_Dispersal (CSI)","W","A",10,"A10_2015-June29",13,3,1128,4.95991260240863,0.97777227,0.70580484088186
"CSI099","29-Jun-15","CSI_Dispersal (CSI)","W","A",11,"A11_2015-June29",0,2,849,4.76504843697113,0.9751415,0.706678450108958
"CSI100","29-Jun-15","CSI_Dispersal (CSI)","W","B",1,"B1_2015-June29",13,0,849,4.73416387728902,0.97587725,0.702098128826365
"CSI102","29-Jun-15","CSI_Dispersal (CSI)","W","B",3,"B3_2015-June29",0,1,1034,4.69712953357278,0.959123325,0.676798122030317
"CSI103","29-Jun-15","CSI_Dispersal (CSI)","W","B",4,"B4_2015-June29",0,3,724,4.14184132503603,0.961420735,0.629133202155384
"CSI104","29-Jun-15","CSI_Dispersal (CSI)","W","B",5,"B5_2015-June29",5,2,497,3.99422767585671,0.963450525,0.643547702148933
"CSI105","29-Jun-15","CSI_Dispersal (CSI)","W","B",6,"B6_2015-June29",5,3,1128,5.22424160548007,0.98303878,0.743419352448595
"CSI106","29-Jun-15","CSI_Dispersal (CSI)","W","B",7,"B7_2015-June29",9,2,741,4.03119751709192,0.940840315,0.61017269016504
"CSI107","29-Jun-15","CSI_Dispersal (CSI)","W","B",8,"B8_2015-June29",9,3,805,4.65591577952016,0.972979085,0.695993226525748
"CSI108","29-Jun-15","CSI_Dispersal (CSI)","W","B",9,"B9_2015-June29",13,2,601,4.10879177280425,0.954871485,0.642306855673157
"CSI109","29-Jun-15","CSI_Dispersal (CSI)","W","B",10,"B10_2015-June29",13,3,733,4.24390298087367,0.95522644,0.643426956353473
"CSI110","29-Jun-15","CSI_Dispersal (CSI)","W","B",11,"B11_2015-June29",0,2,849,4.33003918217097,0.95686057,0.642164590484767
"CSI111","29-Jun-15","CSI_Dispersal (CSI)","W","C",1,"C1_2015-June29",13,0,880,5.03458461622737,0.98042113,0.742697207864877
"CSI113","29-Jun-15","CSI_Dispersal (CSI)","W","C",3,"C3_2015-June29",0,1,482,3.34611657548832,0.91669968,0.541805131027535
"CSI114","29-Jun-15","CSI_Dispersal (CSI)","W","C",4,"C4_2015-June29",0,3,605,4.06797744707334,0.962829315,0.635266699710496
"CSI115","29-Jun-15","CSI_Dispersal (CSI)","W","C",5,"C5_2015-June29",5,2,825,4.71923695432898,0.980798325,0.702877136245839
"CSI116","29-Jun-15","CSI_Dispersal (CSI)","W","C",6,"C6_2015-June29",5,3,819,4.48116105451009,0.966796595,0.668145673730937
"CSI117","29-Jun-15","CSI_Dispersal (CSI)","W","C",7,"C7_2015-June29",9,2,762,4.15929777051494,0.922696645,0.626906951171068
"CSI118","29-Jun-15","CSI_Dispersal (CSI)","W","C",8,"C8_2015-June29",9,3,882,4.3960562033908,0.955194175,0.648284743456061
"CSI119","29-Jun-15","CSI_Dispersal (CSI)","W","C",9,"C9_2015-June29",13,2,916,4.41154860182621,0.952947595,0.646956698680873
"CSI120","29-Jun-15","CSI_Dispersal (CSI)","W","C",10,"C10_2015-June29",13,3,559,3.93695003253024,0.95674006,0.622505783739995
"CSI121","29-Jun-15","CSI_Dispersal (CSI)","W","C",11,"C11_2015-June29",0,2,675,3.8890454782536,0.935101585,0.597099351938736
"CSI122","29-Jun-15","CSI_Dispersal (CSI)","W","D",1,"D1_2015-June29",13,0,554,3.60263364561796,0.9148935,0.570455965402046
"CSI124","29-Jun-15","CSI_Dispersal (CSI)","W","D",3,"D3_2015-June29",0,1,704,4.04457590565132,0.94365006,0.616987903542527
"CSI125","29-Jun-15","CSI_Dispersal (CSI)","W","D",4,"D4_2015-June29",0,3,641,3.84559101125607,0.945303215,0.595157463644149
"CSI126","29-Jun-15","CSI_Dispersal (CSI)","W","D",5,"D5_2015-June29",5,2,684,3.99598586771614,0.9563861,0.612271357550557
"CSI127","29-Jun-15","CSI_Dispersal (CSI)","W","D",6,"D6_2015-June29",5,3,853,4.32834279978529,0.95794821,0.641465327280386
"CSI129","29-Jun-15","CSI_Dispersal (CSI)","W","D",8,"D8_2015-June29",9,3,664,4.04681532839646,0.94650758,0.622896026799396
