"","alpha","beta","omega","death2","pred_nh40","pred_chl0","gamma","loglik","ttime"
"1","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"2","NA","NA","NA","NA","NA","NA","NA","NA","0.270000000000437"
"3","NA","NA","NA","NA","NA","NA","NA","NA","0.180000000000291"
"4","1.6955416393506e-06","8.8408456310405e-11","25.5678539462618","3.77869144125561e-10","3.32044441371201","151.583029679972","5.13937796292695e-10","-398.008230721807","36.3099999999995"
"5","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"6","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","193892800877226","2.22044604925031e-16","1.63139320040656e-14","2.22044604925031e-16","-497.838983089523","20.3400000000001"
"7","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"8","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"9","NA","NA","NA","NA","NA","NA","NA","NA","0.18999999999869"
"10","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"11","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"12","NA","NA","NA","NA","NA","NA","NA","NA","0.190000000000509"
"13","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"14","0.00309117235247592","18.7521027080014","10414.8310757868","2.62956674502738e-07","5.67481454968968","59.8671517790495","108.638538402948","-301.886179599426","61.3099999999995"
"15","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"16","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"17","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
"18","0.000911127034815771","65.1491102987493","1508.33862914534","8.34063254186619e-09","4.70028018821236","54.8851160052197","4.66860729682776e-05","-338.933210922755","42.8900000000012"
"19","0.00361994608668719","34.6135281949708","1917.60509604454","0.000761424732008523","5.57851780467613","33.3352248477791","0.0442183531347158","-296.597438142263","83.5599999999995"
"20","NA","NA","NA","NA","NA","NA","NA","NA","0.18999999999869"
"21","NA","NA","NA","NA","NA","NA","NA","NA","0.199999999998909"
"22","NA","NA","NA","NA","NA","NA","NA","NA","0.18999999999869"
"23","1.09959981280445e-10","6.24324396652237e-10","1.0528401176352","2.97973791220333e-09","0.000140450065652112","151.410795024534","7.94335684030456e-07","-454.156930593846","63.8299999999999"
"24","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"25","NA","NA","NA","NA","NA","NA","NA","NA","0.200000000000728"
"26","NA","NA","NA","NA","NA","NA","NA","NA","0.209999999999127"
