"","alpha","beta","omega","death2","pred_nh40","pred_chl0","gamma","loglik","ttime","corrgood"
"187","1.52063617728793e-11","3.19329966179769e-12","4.55944371043487e-06","5.45046195524174e-06","4.84242045131613e-09","7.65439247164322","196.929545254915","-487.036319996335","37.9500000000007",0
"188","0.00801586361304852","16.0639452123717","6.97982800664751","0.00253187801296015","0.000839618031762518","13.5943610349702","38.8383595399688","-431.11117978407","74.8400000000001",0
"189","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00127272339348332","2.22044604925031e-16","2.22044604925031e-16","3.91708824469349e-07","-563.985317067852","25.9599999999991",0
"190","2.30856907513265e-15","2.22044604925031e-16","0.00223089312579182","0.00146464674819095","2.22044604925031e-16","2.22044604925031e-16","4.3553285671718e-07","-563.9853170586","22.8099999999977",0
"191","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00183103602710013","34541.2535690291","2.22044604925031e-16","3.32364220861381e-05","-563.985316009452","22.8100000000013",0
"192","2.22044604925031e-16","2.22044604925031e-16","3.28437435526502e-05","0.000706393108921476","2.22044604925031e-16","2.22044604925031e-16","1.93105259389572e-11","-563.985317151571","23.0699999999997",0
"193","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00297740615199005","1580.33648779449","2.22044604925031e-16","0.00301056497109629","-563.98527772986","22.6800000000003",0
"194","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00248674861208614","239.016634607458","2.22044604925031e-16","4.53885219137994e-05","-563.985308138197","22.7400000000016",0
"195","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00226559979340286","5462.19950151803","4.08691169331273e-16","7.76272685526631e-08","-563.985317135133","22.7800000000025",0
"196","7.06436697509305e-13","1.28848212112879e-12","1.51027941061467e-06","7.87679462436923e-06","8.71532405937341e-09","7.65388890591802","196.909300472678","-487.037172948846","36.9599999999991",0
"197","0.00446282508473843","26.5872379526993","27.2592262495375","0.00396257103139535","0.000403566313928256","13","40","-656.953384263454","26.9900000000016",0
"198","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00156520076089748","0.00124737380005078","2.22044604925031e-16","1.42306996541009e-07","-563.985317121216","22.9599999999991",0
"199","0.00763387335348254","16.1922904000503","14.0661080741005","0.00382805711786573","0.000403445251406079","13","40","-758.994760223848","27.0300000000025",0
"200","1.75998509382835e-14","2.22044604925031e-16","0.181105371810944","0.00107214279182431","2.22044604925031e-16","2.22044604925031e-16","1.29255273328183e-08","-563.985317148809","22.9200000000019",0
"201","2.22044604925031e-16","2.22044604925031e-16","8.70781213100116e-13","0.000899352146746097","2.22044604925031e-16","2.22044604925031e-16","4.11472064282714e-09","-563.985317150694","22.739999999998",0
"202","6.37923063075342e-11","6.13449529100304e-13","1.10249515855862e-05","1.4882010367334e-06","5.40018990798878e-12","7.65393588531174","196.915836305586","-487.035033922338","36.7700000000004",0
"203","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00166115214029526","5.47072684184303e-13","2.22044604925031e-16","5.29560316224913e-07","-563.98531703867","22.8000000000029",0
"204","0.00368953107447361","16.8690779477955","88.1984484946824","0.00170901371714917","0.000513884949764613","13.8172732769408","32.472769741874","-431.846960640465","63.1599999999999",0
"205","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00171041663283237","1.92927912463909e-09","2.22044604925031e-16","4.0688311203062e-08","-563.985317142903","22.7099999999991",0
"206","1.65462179659901e-11","1.36889083517921e-11","6.26041492743602e-07","0.00342148198899282","0.237654664511885","7.6584743077305","67.1179252962683","-527.383193461669","38.4099999999999",0
"207","1.4646498699309e-11","1.1502751264529e-12","1.86180130891512e-06","4.6567766635859e-07","1.06652047757168e-08","7.65263437441196","196.937850169495","-487.035349395739","33.6899999999987",0
"208","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00219840821298615","7.4027683696906e-09","2.22044604925031e-16","7.51937088556021e-08","-563.985317135599","23.130000000001",0
"209","2.22044604925031e-16","2.22044604925031e-16","3.55766017052715e-08","0.000942904512244472","2.22044604925031e-16","2.22044604925031e-16","4.23271297717572e-12","-563.985317151574","22.7000000000007",0
"210","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.0024605829136551","3602.72852067871","2.22044604925031e-16","7.83388909989592e-07","-563.985316988318","22.7200000000012",0
"211","0.00487709153998022","17.9388900088687","26.1215004048807","0.00556622546518222","0.000405009602918664","13","40","-788.648384147081","26.4599999999991",0
"212","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00133573062830796","7.87944495926681e-13","2.22044604925031e-16","1.99624602448731e-08","-563.98531714731","22.6500000000015",0
"213","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00153321572229158","3135.77144124763","2.22044604925031e-16","6.09008485840721e-05","-563.98531087087","23",0
"214","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00193315149618606","2.1977084562602e-09","2.22044604925031e-16","2.04861592029985e-09","-563.985317151139","22.5499999999993",0
"215","5.37622429109964e-11","1.69030717358232e-12","1.61998594787404e-05","4.02835509997983e-07","1.47659472584588e-09","7.65948697098636","196.9269072319","-487.034739960633","37.25",0
"216","1.42097465491861e-11","1.33782381307706e-11","1.56157693446025e-06","0.00252229631453258","0.148721816186414","7.66225190971959","64.4683744275734","-527.264523742898","36.1100000000006",0
"217","2.22044604925031e-16","2.22044604925031e-16","2.22044604925031e-16","0.00293665783413031","928815.083564517","5.02479946064716e-16","2.40568677356579e-06","-563.985317099922","22.9400000000023",0
"218","3.0441790315789e-07","2.22044604925031e-16","81752.6948207513","0.00206522395702221","2.22044604925031e-16","2.22044604925031e-16","0.000106960510915115","-563.985294405884","22.5300000000025",0
"219","0.0042607156640931","14.4031174474412","37.1919685707942","0.00260007003441687","0.000364088630198847","13.9813046763909","38.4840096882695","-432.037047946727","38.9599999999991",0
"220","0.00671721039315091","19.2452211765953","12.7476507909158","0.00308344211954869","0.000385880056340687","5.3155158893039","39.5521896017124","-479.281640043182","28.9000000000015",0
"221","0.00438113595991085","17.1712878218843","24.5536524071866","0.00559830338079172","0.000405038473042713","13","40","-608.208731116458","28.9900000000016",0
