"","alpha","beta","omega","death1","death2","pred_nh40","pred_chl0","gamma","loglik","ttime"
"66",2.22044604925031e-16,2.22044604925031e-16,4.05447882023958e-16,0.000106899654119677,7.58318570846435e-14,2.22044604925031e-16,2.74316253007703e-13,2.22044604925031e-16,-471.555968787376,20.8600000000006
"67",0.0045895857984612,30.708829512923,1011.63287808473,0.0449677702193945,1.36515625356599e-08,3.27178518933055,33.8639524217281,0.134487372175145,-267.408190352385,49.2999999999993
"68",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00145172251339581,220.875414765568,3.86365051661092e-16,0.000163914695454237,2.22044604925031e-16,-471.555929690104,20.8300000000017
"69",0.00460336198680885,31.4519511793466,1019.50664770236,0.050829396873143,4.16966223678773e-08,3.26928320843756,33.4550491682411,0.119378600086799,-267.425011116846,59.3400000000001
"70",0.00462436489874286,32.2762185703425,1128.57454489651,0.0573249722885458,9.48740819515992e-08,3.268296679881,33.0242560936752,0.106441865390182,-267.453617565347,56.0600000000013
"71",0.00455666792958582,28.7152912771386,1975.40125878476,0.0299583303954915,1.83554065452961e-08,3.27755763784096,34.9717735598545,0.200343556964124,-267.382266638491,49.25
"72",0.00417319938692688,26.8803890030199,11789.1323840603,0.00339809117159705,6.02684774019101e-07,3.26698143646696,37.4530015465364,1.55326496721497,-268.045159294763,51.3400000000001
"73",0.00458084386695672,31.8532161686325,109.96672636045,0.0506660969879608,1.58656676686055e-06,3.25933060506991,34.1422442560648,0.116863783222976,-267.598780738022,55.739999999998
"74",0.00455059375240378,31.7565564982274,1177.74122664585,0.0508669365536745,6.56556465426663e-08,3.26683385647737,33.5816908863067,0.117772933903667,-267.425617611397,61.75
"75",0.0043904644848785,33.0335217231672,597.034690816597,0.0497434980383832,4.61380923954113e-06,3.25448864664115,33.2187439676079,0.113617449201249,-267.771716345404,48.880000000001
"76",0.0151249630860563,104.599078942488,0.695637919770132,0.428072728432324,0.000828173243714665,2.95078420010196,23.0251938546356,0.0109985148327453,-271.470051396608,95.5300000000025
"77",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00218314195233371,58.1912897543333,2.22044604925031e-16,0.000463073032444596,2.22044604925031e-16,-471.555853329277,20.869999999999
"78",0.00460689107401932,31.2829665930315,2459.23470556737,0.0499540569904533,2.1382288922409e-08,3.27073473983348,33.4763311112736,0.121714435554349,-267.417178906162,64.7199999999975
"79",3.23402193785761e-10,5.07847820657517e-11,0.000127057464513727,4.67790714537299e-07,1.35173631572766e-09,2.28772453853607,135.117953201859,4.75701920377899e-07,-360.595547186135,35.1100000000006
"80",0.00461184570183793,32.8703531611956,1256.00217022861,0.060786591378977,4.54996916268584e-08,3.26458062271658,32.6974404539885,0.100015184195868,-267.460123618726,80.1100000000006
"81",0.00631168309806381,47.7302384239272,59.6507300883532,0.0262230727966099,0.000531467687355932,5,33,0.0424068273769692,-596.448109803897,24.5499999999993
"82",2.22044604925031e-16,2.22044604925031e-16,1.3253737853053e-09,0.000977973584130877,6.01694751091978e-15,2.22044604925031e-16,4.89911922550131e-07,2.22044604925031e-16,-471.555968642583,20.8299999999981
"83",0.0045636210517166,29.8268666715235,1258.85447621242,0.0377896832962748,1.9717016342294e-09,3.27223056683231,34.3364120024196,0.158969660451614,-267.391101228924,66.0599999999977
"84",8.31610254551698e-11,4.07693398419462e-10,0.00135099293213489,9.91625622536999e-07,5.16541775058092e-09,2.28848897123386,135.128775669554,3.12198771691091e-06,-360.596145280245,34.3100000000013
"85",0.00153235333810355,113.205683188716,593.440158155399,0.000398805886605478,0.000526470808663681,2.98960813458115,22.5728397190883,0.0162822226290834,-272.09137574306,43.3300000000017
"86",0.00462221497793881,32.6931434616883,714.037567011695,0.0602894685916537,1.12956773284676e-07,3.26580635378219,32.881139894726,0.101087349456593,-267.464422642481,49.4099999999999
"87",0.00170783323507799,114.574142580426,20.7300772187387,0.00322069967800382,0.000583001866012648,2.98144782325034,22.579964149852,0.0151328641929715,-272.038951764922,37.6399999999994
"88",2.25156150941048e-10,2.3313151484263e-10,0.000101043363506712,4.54005621033864e-06,4.39829573945163e-08,2.28918709692299,135.119017772082,1.07600474230314e-06,-360.598836791957,28.0299999999988
"89",2.22044604925031e-16,2.22044604925031e-16,4.65294685379173e-16,0.0024093107413203,0.15582082575231,2.22044604925031e-16,4.94611974550691e-06,2.22044604925031e-16,-471.555967339628,20.8299999999981
"90",0.00459153055656523,30.8484283765549,1451.70311472437,0.0464111036066882,5.32212354436320e-09,3.27127885041856,33.8255526729598,0.130466478061983,-267.406559986576,63.9099999999999
"91",0.00479306505076404,34.5468179740834,51.2600637378563,0.0738728938904247,6.95204084534789e-06,3.25257527073583,32.4114274311596,0.0820058061797089,-267.969640041223,53.9399999999987
"92",0.00232950796251651,51.9527726390515,70.7458355685696,0.0105705873371568,0.000512684704804588,5,33,0.0727942185967229,-672.305548205288,24.7000000000007
"93",2.22044604925031e-16,2.22044604925031e-16,3.41189129010689e-07,9.66345847535264e-05,2.22044604925031e-16,2.22044604925031e-16,2.48380943619949e-14,2.22044604925031e-16,-471.555968787376,20.869999999999
"94",0.00460778476918907,32.0874214241008,1647.4872975891,0.0558271184778482,1.54445088373125e-08,3.26656571790217,33.2296832692325,0.109039732823722,-267.436690650242,60.9599999999991
"95",0.00489391301668334,33.0782613905478,62.7805062565722,0.0697177312800402,3.91931273646678e-06,3.26252824751938,32.5929058760007,0.0900699096968755,-267.809042219735,51.1399999999994
"96",0.00457520566452552,29.8394844762392,1207.35742896457,0.0381651742277708,5.59679421922162e-09,3.27449471468153,34.3330677318241,0.157833057103283,-267.396078115648,56.1599999999999
"97",0.00457777875761009,29.6468487330104,1965.14007539135,0.0373451068476676,9.15704968891787e-08,3.27528480418382,34.472520073547,0.161545942574007,-267.397313878129,54.9700000000012
"98",0.00463775975606651,32.7326900189571,625.923296848166,0.0610441575368892,2.58857808137669e-08,3.26617510955564,32.7418215707577,0.10016215278259,-267.464072774445,71.3199999999997
"99",0.00458034970564901,30.1040201820217,1120.68610926189,0.0405163224086699,1.53355395928479e-09,3.27352069502141,34.2090986250239,0.148946121885808,-267.395731699814,49.3899999999994
"100",0.00456602562006733,29.6451113780643,1663.21531092242,0.0366442960958412,9.58020654916346e-10,3.27494024348854,34.4498636143655,0.164222292724055,-267.390615491621,59.2700000000004
