"","alpha","beta","omega","pred_nh40","pred_chl0","gamma","loglik","ttime"
"1",0.00513517248953254,16.4516685969486,15.4968152625546,13.5606217835098,37.1761094597873,0.101315818230548,-431.466250874143,46.14
"2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.94239225559952e-10,2.22044604925031e-16,-563.985317151491,21.63
"3",0.00785586272949278,13.947116431924,6.49013442260981,13.7267189716544,47.8937125444176,0.122453610666513,-431.331356140805,65.2800000000001
"4",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.7405348459503e-16,0.000113243061567234,2.22044604925031e-16,-563.985293059817,14.9
"5",2.22044604925031e-16,2.22044604925031e-16,3.05159144999996e-12,2.22044604925031e-16,2.03139695145023e-10,2.22044604925031e-16,-563.985317151532,14.8299999999999
"6",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,9.81063460364035e-09,2.22044604925031e-16,-563.985317149488,14.8399999999999
"7",0.0068963998562009,14.184202034937,9.20759677797575,13.6315946488697,42.1485344311263,0.122782627723655,-431.498717140703,38.8499999999999
"8",0.00725297142278712,14.2782854447054,7.48227034445706,13.7198061302731,46.3451762815396,0.11915905718224,-431.328022413823,36.97
"9",2.22044604925031e-16,2.22044604925031e-16,0.147909062269772,2.22044604925031e-16,1.71328403466951e-07,3.06687628977462e-16,-563.985317115126,14.85
"10",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.13861598201391e-05,2.22044604925031e-16,-563.98531472924,14.8099999999999
"11",1.59723539788261e-10,2.22044604925031e-16,0.859586843293311,2.22044604925031e-16,2.53622965548987e-05,2.22044604925031e-16,-563.985311755903,14.98
"12",3.27149933184243e-15,2.22044604925031e-16,135.463081931263,2.22044604925031e-16,1.33943242014311e-06,2.22044604925031e-16,-563.985316866619,15.39
"13",0.00690891850658288,14.4521548465802,8.21466510838928,13.7153164973067,45.5367102709099,0.117516989177187,-431.331895787437,40.22
"14",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.95032912976863e-08,2.22044604925031e-16,-563.985317138916,14.8100000000001
"15",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.87824455683904e-12,0.00254896587020214,2.22044604925031e-16,-563.984774877961,14.9399999999999
"16",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.26239508966349e-06,204.289728929141,2.22044604925031e-16,-542.075543225419,26.5799999999999
"17",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.10837282027893e-14,0.00421819685726824,2.22044604925031e-16,-563.984419764986,14.8499999999999
"18",2.22044604925031e-16,2.22044604925031e-16,1.93468903909985e-15,2.22044604925031e-16,1.68917195229506e-10,2.22044604925031e-16,-563.985317151539,14.8299999999999
"19",0.00282527987891005,19.1161569729069,85.7969676604386,12.7639470831185,53.4045305758812,0.0836417709022817,-436.285915800172,32.5899999999999
"20",1.84847295181737e-11,2.22044604925031e-16,204.538571974292,2.22044604925031e-16,1.48838808669956e-06,2.22044604925031e-16,-563.98531683493,14.84
"21",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.13204450428447e-14,2.22607289614877e-08,2.22044604925031e-16,-563.985317146839,14.8200000000002
"22",0.00586334715589355,15.3459006400076,11.7288807650419,13.720658011658,40.9833597614181,0.109196683818277,-431.377005178967,50.8300000000002
"23",0.00724275274600842,14.305667675531,7.50700224752798,13.7107417791651,46.122206686375,0.119031996962021,-431.327874871378,47.5
"24",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,6.38492702037847e-07,203.564902197574,2.22044604925031e-16,-542.074832453039,68.5799999999999
"25",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.60221363588006e-08,2.22044604925031e-16,-563.985317143912,14.9000000000001
"26",2.66125321462908e-10,2.22044604925031e-16,155870.626037926,2.22044604925031e-16,0.000111523908686156,2.22044604925031e-16,-563.985293425555,14.78
"27",2.22044604925031e-16,2.22044604925031e-16,1.00014565918083e-15,2.22044604925031e-16,3.7769739738056e-12,2.22044604925031e-16,-563.985317151574,14.8199999999999
"28",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.17148670551875e-08,2.22044604925031e-16,-563.985317140573,14.78
"29",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.83601361187986e-06,2.22044604925031e-16,-563.985316548231,14.74
"30",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.90979882204698e-14,7.54660929345971e-07,2.22044604925031e-16,-563.985316991026,14.7
"31",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.51994071202932e-11,0.005222532238378,2.22044604925031e-16,-563.984206103448,14.75
"32",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.36477830090613e-14,2.81678067344866e-09,2.22044604925031e-16,-563.985317150976,14.79
"33",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,7.36995403567169e-16,6.96275275743055e-06,2.22044604925031e-16,-563.985315670292,14.6600000000001
"34",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.1140715419481e-09,2.22044604925031e-16,-563.985317151126,14.71
"35",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.26450973300225e-07,2.22044604925031e-16,-563.985317039576,14.75
"36",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.71331333100463e-07,208.109372023218,2.22044604925031e-16,-542.087265453056,37.98
"37",0.0052238792298435,15.2362547212077,19.0850205962834,13.9060146470648,36.9593272060957,0.111152904632986,-431.560035276757,28.1900000000001
"38",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,6.32017121867641e-14,3.98611082956884e-05,2.22044604925031e-16,-563.98530867137,14.72
"39",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,6.94016670622263e-08,2.22044604925031e-16,-563.985317136811,14.7
"40",0.00537035559972593,15.7278336691354,14.5703818918327,13.7155369983991,39.4082032063334,0.106109966693442,-431.418378740579,27.4199999999998
"41",8.23393159121596e-13,2.22044604925031e-16,1.02234163614486,2.22044604925031e-16,1.12255839865852e-06,2.22044604925031e-16,-563.985316912758,14.72
"42",0.00721647582194729,14.3156208014855,7.52275147664733,13.7148789512569,46.2856268329563,0.118728730164941,-431.328390307609,54.3899999999999
"43",2.22044604925031e-16,2.22044604925031e-16,0.00104828582186325,2.22044604925031e-16,3.52951866541341e-07,3.17203091992309e-12,-563.985317076487,14.75
"44",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.58052420512114e-15,1.60914085561981e-05,2.22044604925031e-16,-563.985313728227,14.7199999999998
"45",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.68120532760831e-13,2.12160724616516e-06,2.22044604925031e-16,-563.985316700215,14.72
"46",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.91058805834827e-14,9.31063281910611e-05,2.22044604925031e-16,-563.985297343781,14.6999999999998
"47",0.00448722823051115,20.061848235727,22.2455654356136,13,40,0.139747261520824,-774.833518094967,17.9200000000001
"48",0.0050056098936407,16.5118185457988,12.9399556061393,13.7477838440794,43.6809582394337,0.0992270379308794,-431.913311057295,24.0900000000001
"49",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.805306361017e-13,1.16940700595611e-05,2.22044604925031e-16,-563.985314663733,14.72
"50",2.22044604925031e-16,2.22044604925031e-16,1.54808468949836e-13,2.22044604925031e-16,3.2367893401547e-09,2.22044604925031e-16,-563.985317150887,14.71
"51",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.88291830990327e-11,0.0035241349351895,2.22044604925031e-16,-563.984567419408,14.7299999999998
"52",0.898229595895056,9.26561301070791e-10,16243366.4275253,9.99813222482177e-09,0.00277167562912918,1.52520018145351e-08,-563.984727446227,14.7
"53",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.2312263550354e-10,2.22044604925031e-16,-563.985317151528,14.7299999999998
"54",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.04072220664413e-14,7.00223997686837e-06,2.22044604925031e-16,-563.985315661892,14.76
"55",0.00482298419019241,16.6779260253279,14.8747489474712,13.7373978932611,41.6196906219025,0.0979355135647903,-431.761359974867,36.8499999999999
"56",3.35746062996255e-07,1.12778643048415e-09,3.1470710049042,8.06448664674826e-13,4.0393324325032e-07,1.97347504606234,-563.98531703569,14.74
"57",2.22044604925031e-16,2.22044604925031e-16,1.81738747325518e-15,2.22044604925031e-16,9.13084670703702e-13,2.22044604925031e-16,-563.985317151575,14.8000000000002
"58",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,9.33901701129283e-05,2.22044604925031e-16,-563.985297283395,14.6500000000001
"59",0.00687829621470367,14.4489251202859,8.36100247462277,13.7244717150855,45.0956831934225,0.117514790787824,-431.334789810855,70.0899999999999
"60",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.96942657537208e-07,2.22044604925031e-16,-563.985317109677,14.6399999999999
"61",0.00847040609473363,14.5521855403452,11.0119673002826,13,40,0.174059514133842,-668.752215785772,18.05
"62",0.00938180466234262,13.2744814236146,4.86949150874649,13.6966463072972,51.064338066887,0.129802104801499,-431.36995138779,43.3799999999999
"63",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.6011197162866e-12,1.39816711281033e-05,2.22044604925031e-16,-563.985314177037,14.6899999999998
"64",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.47595849425098e-12,3.86505408004398e-06,2.22044604925031e-16,-563.985316329296,14.72
"65",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.58123724671714e-12,0.000386607800435098,2.22044604925031e-16,-563.985234903203,14.77
"66",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.80087522112996e-14,3.26932125508457e-06,2.22044604925031e-16,-563.985316456047,14.6600000000001
"67",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.7945820286513e-08,2.22044604925031e-16,-563.985317139248,14.75
"68",0.00728133517172674,14.267473660186,7.42504837487395,13.7107074180994,46.3981987091192,0.11933815615817,-431.327849242275,48.4099999999999
"69",0.00645584557951663,14.7717644921411,9.38632357769138,13.7092565526955,44.1193635410767,0.114467271985054,-431.342655314579,51.4000000000001
"70",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.58487797332814e-10,2.22044604925031e-16,-563.985317151541,14.7199999999998
"71",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.2545834408674e-07,2.22044604925031e-16,-563.985317124885,14.7400000000002
"72",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.25684172622917e-06,2.22044604925031e-16,-563.985316033215,14.71
"73",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,8.65464040332722e-09,2.22044604925031e-16,-563.985317149734,14.73
"74",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.05515570403422e-06,210.016164578073,2.22044604925031e-16,-542.09803876689,29.1500000000001
"75",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,9.95534540204526e-12,0.00112446825159197,2.22044604925031e-16,-563.985077928445,14.75
"76",6.38149246458403e-05,2.22044604925031e-16,102177.031960363,2.22044604925031e-16,2.6072182149034e-06,2.22044604925031e-16,-563.985316596906,14.7199999999998
"77",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.792351197401e-07,2.22044604925031e-16,-563.985317028347,14.73
"78",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.87521540835822e-11,208.086326880204,2.22044604925031e-16,-542.087155931944,39.98
"79",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.86916978254283e-06,2.22044604925031e-16,-563.985316328433,14.7200000000003
"80",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.61756938097726e-06,2.22044604925031e-16,-563.985316807447,14.6999999999998
"81",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.2127485362541e-08,2.22044604925031e-16,-563.985317148995,14.75
"82",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.06993226369115e-11,2.22044604925031e-16,-563.985317151573,14.6899999999996
"83",0.00355696094060494,18.0161408978052,216.673337642753,13.6699062680384,28.7773544776004,0.0903255659523072,-431.962662751119,39.27
"84",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,7.18244614076046e-08,2.22044604925031e-16,-563.985317136295,14.7200000000003
"85",2.22044604925031e-16,2.22044604925031e-16,2.96699378958714e-07,2.22044604925031e-16,4.8320527176639e-08,2.22044604925031e-16,-563.985317141295,14.6900000000001
"86",0.00165131299287381,68.3455393177493,4.36217787151711,9.81458922918512,64.3550211680744,0.0126451113274475,-446.732415576327,34.7799999999997
"87",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.26428362351024e-10,0.00141888718252734,2.22044604925031e-16,-563.985015292388,14.8000000000002
"88",0.00506278122849142,20.3140117772147,16.4687525148841,13,40,0.1149514996449,-636.618198805176,18.02
"89",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.28280800300383e-07,2.22044604925031e-16,-563.985317124284,14.7200000000003
"90",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.74019714905596e-10,5.51421582792326e-05,2.22044604925031e-16,-563.985305419506,14.7600000000002
"91",1.85314075390411e-12,2.22044604925031e-16,0.810195418146768,2.22044604925031e-16,7.65875834566402e-09,2.22044604925031e-16,-563.985317149946,14.6400000000003
"92",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.47025276680654e-07,202.918466698954,2.22044604925031e-16,-542.074607949982,34.2800000000002
"93",0.000114272756984247,5.12517649200592e-14,2.50616357515937,0.000271178746106699,203.362508865981,1.56449753539572e-11,-542.073370870106,22
"94",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.78252579538657e-07,2.22044604925031e-16,-563.98531704983,14.7799999999997
"95",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.10968988537271e-15,2.42001803469643e-09,2.22044604925031e-16,-563.98531715106,14.8099999999999
