"","alpha","beta","omega","death1","death2","pred_nh40","pred_chl0","gamma","loglik","ttime"
"1",0.00100303046453165,29.252141803959,11265.621819184,1.74553305520153e-08,1.98433515987014e-12,12.0717284739605,59.1377013164028,0.000739490986384897,-444.726625765235,68.44
"2",0.00100743135212646,0.409957773281371,38.9059234957074,0.000206781148128176,1.04889573330772e-06,13.1740794171607,195.222456006272,0.010857026459129,-472.753188653763,51.01
"3",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00248081235813006,376.450443101175,2.55647578104492e-16,0.000168805661495715,2.22044604925031e-16,-563.98529121356,41.77
"4",0.000993821183706682,28.801587323526,475.352372957537,2.06712218149959e-06,2.05248094203104e-07,11.9889366861964,63.0076250940488,0.00153396037594838,-444.714343468818,86.4900000000001
"5",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.00112453939104159,2571090.31807463,1.69110453634837e-13,5.00872988658213e-13,2.22044604925031e-16,-563.985317151574,23.28
"6",1.6220346546219e-14,2.22044604925031e-16,96.2718398226322,0.00262588074186864,2.22044604925031e-16,2.22044604925031e-16,2.22120452249183e-06,2.22044604925031e-16,-563.985316680917,23.3100000000001
"7",0.00593028315806273,16.1443544087998,12.6313031290484,0.00434136041065333,0.000693933152914119,13.7013289634487,37.2280524838907,0.0958806193490028,-431.346410390216,60.39
"8",0.00992202134991065,30.8399931803501,16.7724664522801,0.00775223238292849,0.000165163065525703,13,43,0.0747991367944827,-608.533575209484,27.14
"9",0.00371208876798204,17.1559173912315,74.2867796812653,0.00266052235305366,0.000503772997534694,13.691448122525,32.7073393739985,0.100415283579536,-431.819165910684,50.23
"10",0.00692510467823891,15.9532708226062,8.85522544180468,0.00253750261060508,0.000744517994921394,13.6555175184537,39.1398330354428,0.0952755964150184,-431.20116432498,74.08
"11",0.00449012966922795,18.9571129564662,16.0223177047291,0.00587350358021678,0.000282899871775881,13,43,0.212799896735077,-712.37665724108,28.97
"12",2.22044604925031e-16,2.22044604925031e-16,1.73597866124425e-13,0.00404116436706342,2.22044604925031e-16,2.22044604925031e-16,4.83217019009214e-07,2.22044604925031e-16,-563.985317050107,24.5
"13",2.22044604925031e-16,2.22044604925031e-16,0.000569959061613976,0.00164449640773025,2.22044604925031e-16,2.22044604925031e-16,4.5364711928799e-08,2.22044604925031e-16,-563.985317141902,24.64
"14",0.00102006173719158,29.0592023486553,618.184103731376,3.29053068801773e-05,1.81373034459649e-07,12.0920719221075,59.2725362840125,0.00103474595490232,-444.792877286347,60.14
"15",2.7540586459504e-12,2.90589869975698e-13,6.95942866737619e-07,3.69698059347296e-13,1.43532764367779e-08,7.65202053220773,196.924024563495,7.71639037819153e-07,-487.035433831503,34.87
