"","alpha","beta","pred_nh40","pred_chl0","gamma","loglik","ttime"
"1",2.22044604925031e-16,2.22044604925031e-16,4.98861330833905e-15,4.71316173220907e-06,2.22044604925031e-16,-563.985316148879,11.92
"2",0.00560284769829609,15.2051139199274,13.7500668749182,42.5961567056043,0.110462820357371,-431.445069498565,23.8199999999999
"3",176.115045998682,0.463109363631928,9.64424340647912e-09,0.00623164441660137,1.12794945831788,-563.983929433379,12
"4",2.05560028521366e-10,2.22044604925031e-16,2.22044604925031e-16,0.000117859417186811,2.22044604925031e-16,-563.985292077716,11.88
"5",2.22044604925031e-16,2.22044604925031e-16,2.88581841773454e-10,0.00156241240225628,2.22044604925031e-16,-563.984984757639,11.88
"6",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.05922171640828e-06,2.22044604925031e-16,-563.985316926232,11.75
"7",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.91991097564277e-10,2.22044604925031e-16,-563.985317151534,11.9
"8",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,8.57544233656099e-10,2.22044604925031e-16,-563.985317151393,11.75
"9",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.98317115435754e-10,2.22044604925031e-16,-563.985317151491,11.86
"10",2.22044604925031e-16,2.22044604925031e-16,1.49659201436978e-14,1.71031228243212e-05,2.22044604925031e-16,-563.985313512991,11.75
"11",0.00699170482605696,16.1587101294054,13,40,0.157670375749702,-681.083466001226,15.1400000000001
"12",0.00556251694867917,15.5741824647257,13.6810683174253,40.7599461915053,0.107349963062615,-431.395988374615,34
"13",2.22044604925031e-16,2.22044604925031e-16,5.47765725048683e-10,7.16370476756101e-05,2.22044604925031e-16,-563.985301908353,11.88
"14",2.22044604925031e-16,2.22044604925031e-16,5.21952076412975e-11,0.00308864625824497,2.22044604925031e-16,-563.984660065548,11.75
"15",2.22044604925031e-16,2.22044604925031e-16,2.79026662181388e-16,1.91107456230153e-07,2.22044604925031e-16,-563.985317110918,11.87
"16",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.64666552402327e-06,2.22044604925031e-16,-563.985316801257,11.75
"17",2.22044604925031e-16,2.22044604925031e-16,3.15368343985376e-12,6.06688253027672e-05,2.22044604925031e-16,-563.985304244641,11.97
"18",2.22044604925031e-16,2.22044604925031e-16,3.04765149811671e-16,6.37981151565878e-05,2.22044604925031e-16,-563.985303578921,11.9599999999999
"19",0.00556501728439958,15.6055268544114,13.6750068668326,40.5287238703224,0.107227506698656,-431.393931361372,41.05
"20",0.00557982724421133,15.586441488227,13.670054261052,40.4976676480367,0.107330438669218,-431.395107389655,31.24
"21",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.17029488789214e-10,2.22044604925031e-16,-563.985317151465,12.1899999999999
"22",2.22044604925031e-16,2.22044604925031e-16,2.07383029955459e-10,0.000930011502049931,2.22044604925031e-16,-563.985119296685,12.05
"23",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.06621876187239e-10,2.22044604925031e-16,-563.985317151553,11.73
"24",2.22044604925031e-16,2.22044604925031e-16,9.88531267272236e-14,2.11484842617724e-05,2.22044604925031e-16,-563.985312652365,12.3599999999999
"25",0.00558277990323697,15.5091983544314,13.6756707751569,40.6397936315733,0.108401974326157,-431.394054500261,36.04
"26",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,6.33650164522991e-08,2.22044604925031e-16,-563.985317138095,11.89
"27",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.31398393188703e-08,2.22044604925031e-16,-563.985317144525,11.92
"28",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.86642625445801e-06,2.22044604925031e-16,-563.985316329017,11.73
"29",2.22044604925031e-16,2.22044604925031e-16,6.28133575891102e-16,9.72348930463985e-05,2.22044604925031e-16,-563.985296465454,11.8900000000001
"30",1.8479699396608e-09,2.22044604925031e-16,9.48624483648316e-16,1.21568720016546e-05,1.63686173079303e-10,-563.985314565276,11.76
"31",4.66733036153606e-16,2.22044604925031e-16,2.22044604925031e-16,1.55025261605262e-08,2.22044604925031e-16,-563.985317148277,11.88
"32",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,9.04627724768979e-07,2.22044604925031e-16,-563.985316959121,11.7299999999999
"33",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.94512586842978e-08,2.22044604925031e-16,-563.985317141055,11.86
"34",2.22044604925031e-16,2.22044604925031e-16,5.33363170055666e-11,7.22438180638044e-05,2.22044604925031e-16,-563.985301781869,11.8
"35",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.55667768136753e-10,2.22044604925031e-16,-563.9853171515,11.8599999999999
"36",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.68465176579192e-11,2.22044604925031e-16,-563.985317151572,11.75
"37",0.00559842104066218,15.5002746637854,13.6996087262262,40.7089404038783,0.107915723928761,-431.395797100971,36.74
"38",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.36184660976629e-07,2.22044604925031e-16,-563.985317122603,11.7299999999998
"39",9.87766591865975e-15,2.22044604925031e-16,2.22044604925031e-16,2.32154919490008e-06,2.22044604925031e-16,-563.98531665768,11.8500000000001
"40",0.00536962138272957,14.0092498635294,13.8601988627735,61.101261825636,0.116273464774755,-434.891527729519,30.6300000000001
"41",2.22044604925031e-16,2.22044604925031e-16,1.07350164931507e-12,1.66876842332747e-07,2.22044604925031e-16,-563.985317116068,11.79
