"","treatment","quant","a","k","l","death1","g"
"1","0.5"," 2.5%",4.40773243815713,1192.24462437024,0.043467735172589,0.0793231567085701,0.0116748501203142
"2","0.5","50.0%",20.2645106124989,4052.52725661627,0.498490524256645,0.332667411406788,0.0336112262068448
"3","0.5","97.5%",41.8572451817354,8720.04532870276,0.967170240437775,1.71895659628431,0.627320735873314
"4","3"," 2.5%",9.85105601001177,1778.68174857038,0.152590938370355,0.0571782148552049,0.0163531819724098
"5","3","50.0%",16.7801709475278,4123.96368813276,0.639597829570427,0.155952564940446,0.0280728470307642
"6","3","97.5%",39.9382566453687,8721.897918908,0.985017816748561,1.60797130655886,0.671730468199625
"7","9"," 2.5%",17.025935603133,2897.46197217632,0.053073679137601,0.0564471228604869,0.0144235316053144
"8","9","50.0%",23.090455742758,5485.07656604871,0.603332945131854,0.0854041437767095,0.0189969570961904
"9","9","97.5%",44.874333920756,8377.41123605673,0.9905066922426,1.56984631917029,0.765141177411059
"10","27"," 2.5%",19.1714526957881,6108.36109982841,0.384129605232836,0.0835112697676528,0.0252545761418251
"11","27","50.0%",23.0064755253073,8245.55775895083,0.652624873345004,0.260467188371652,0.0511747450209135
"12","27","97.5%",42.5144108619302,8811.83090582951,0.937159624445357,1.44051679153138,0.694964466259708
"13","54"," 2.5%",11.3727548448143,1555.8907680317,0.165122869859802,0.08451290350456,0.028320169166193
"14","54","50.0%",14.5312586878736,4826.45155141603,0.577767286250954,0.213807483273704,0.045239766687158
"15","54","97.5%",20.8403822814758,7773.25844417748,0.963563094353271,1.01621011022048,0.23496818802807
"16","108"," 2.5%",1.39728741613018,1236.41556175762,0.0360792580095576,0.074939435114669,0.0542605730404563
"17","108","50.0%",4.82390908467078,4885.11235562945,0.471879823897073,0.858251944733145,0.251838881510327
"18","108","97.5%",10.4693700683961,8799.20271835441,0.966430594441764,1.9168424522492,0.828399906838873
