IU_Barcode,Field_ID,Date,Date2,Replicate,Treatment,Dispersal,Salinity,Salinity_real,NH4um,NO3um,PO4um,Maple_dmass,Spartina_dmass,Phrag_dmass,Cmin,Sample..
CSI071,249,7/26/15,45,C,7,2,9,7.41,1.22,1.09,0,1.43,1.39,5.52,1.18,C_7_12JUN15
CSI072,250,7/26/15,45,C,8,3,9,8.45,1.33,0,0.09,1.86,1.57,4.53,1.85,C_8_12JUN15
CSI073,251,7/26/15,45,C,9,2,13,11.34,1.99,0.65,0.15,2.03,1.57,4.94,52.41,C_9_12JUN15
CSI074,252,7/26/15,45,C,10,3,13,10.45,1.69,0,0.1,1.41,1.63,5.27,13.56,C_10_12JUN15
CSI075,253,7/26/15,45,C,11,2,0,0.41,1.17,0,0,2.67,2.45,7.24,58.58,C_11_12JUN15
CSI079,257,7/26/15,45,D,4,3,0,0.45,1.77,0,0,2.19,2.05,5.7,189,D_4_12JUN15
CSI080,258,7/26/15,45,D,5,2,5,4.48,1.49,0,0,1.91,1.69,2.91,0.73,D_5_12JUN15
CSI081,259,7/26/15,45,D,6,3,5,4.46,1.99,0,0,2.13,1.93,6.24,37.37,D_6_12JUN15
CSI082,260,7/26/15,45,D,7,2,9,7.94,1.5,0,0,2.4,1.51,5.56,18.14,D_7_12JUN15
CSI083,261,7/26/15,45,D,8,3,9,7.89,1.69,0,0,2.24,1.51,5.3,5.8,D_8_12JUN15
CSI084,262,7/26/15,45,D,9,2,13,7,1.72,0,0,1.94,1.14,4.2,10.11,D_9_12JUN15
CSI085,263,7/26/15,45,D,10,3,13,11.66,1.82,0,0,2.03,1.41,4.54,35.26,D_10_12JUN15
CSI086,264,7/26/15,45,D,11,2,0,0.35,1.09,0,0,2.02,2.13,1.66,100.9,D_11_12JUN15
CSI090,92,6/29/15,18,A,4,3,0,0.4,NA,NA,NA,2.66,2.7,8.25,46.72,A_4_11JUN15
CSI091,93,6/29/15,18,A,5,2,5,5.33,NA,NA,NA,2.19,1.56,5.03,15.1,A_5_11JUN15
